Organization_Name,Organization_Type,Address,City,State,Zip,County,Phone,Website,Notes
Annapolis Senior Activity Center,Senior Center,119 S Villa Ave,Annapolis,MD,21401.0,Anne Arundel County,410-222-1818,https://www.aacounty.org/departments/aging-and-disabilities/senior-centers/annapolis,
Pasadena Senior Activity Center,Senior Center,4103 Mountain Rd,Pasadena,MD,21122.0,Anne Arundel County,410-222-0030,https://www.aacounty.org/departments/aging-and-disabilities/senior-centers/pasadena,
South County Senior Activity Center,Senior Center,27 Stepneys Ln,Edgewater,MD,21037.0,Anne Arundel County,410-222-1927,https://www.aacounty.org/departments/aging-and-disabilities/senior-centers/south-county,
Anne Arundel County Department of Aging and Disabilities,Government Agency,2666 Riva Rd,Annapolis,MD,21401.0,Anne Arundel County,410-222-4257,https://www.aacounty.org/departments/aging-and-disabilities/,
Anne Arundel County Maryland Access Point,Government Agency,,,MD,,Anne Arundel County,410-222-4257,,
Anne Arundel County Department of Social Services,Government Agency,80 West St,Annapolis,MD,21401.0,Anne Arundel County,410-269-4500,,
VFW Post 160,Veterans Organization,2597 Dorsey Rd,Glen Burnie,MD,21060.0,Anne Arundel County,410-766-9802,,
American Legion Post 40,Veterans Organization,500 5th St,Annapolis,MD,21403.0,Anne Arundel County,410-263-2683,https://www.legion40.org,
Anne Arundel County Veterans Affairs Office,Veterans Organization,,,MD,,Anne Arundel County,410-222-3822,,Government agency
Sinclair Prosser Gasior,Financial/Legal Services,900 Bestgate Rd #103,Annapolis,MD,21401.0,Anne Arundel County,410-573-4818,,Elder Law & Estate Planning
Barranco & Sons Funeral Home,Funeral Home,495 Ritchie Hwy,Severna Park,MD,21146.0,Anne Arundel County,410-647-2400,https://www.barrancofuneralhome.com,
John M. Taylor Funeral Home,Funeral Home,147 Duke of Gloucester St,Annapolis,MD,21401.0,Anne Arundel County,410-263-4422,https://www.johnmtaylorfuneralhome.com,
Kalas Funeral Home & Crematory,Funeral Home,2973 Solomons Island Rd,Edgewater,MD,21037.0,Anne Arundel County,410-956-4488,https://www.kalasfuneralhomes.com,
Anne Arundel County Annual Caregivers' Conference,Event,101 College Pkwy,Arnold,MD,21012.0,Anne Arundel County,,,Held at Anne Arundel Community College
Health and Wellness Expo,Event,119 S Villa Ave,Annapolis,MD,21401.0,Anne Arundel County,,,Held at Annapolis Senior Activity Center
