Organization_Name,Organization_Type,Address,City,State,Zip,County,Phone,Website,Notes
Waldorf Senior and Recreational Center,Senior Center,90 Post Office Rd,Waldorf,MD,20602.0,Charles County,301-638-4420,https://www.charlescountymd.gov/government/departments/community-services/aging-and-human-services/senior-centers,
Indian Head Senior Center,Senior Center,100 Cornwallis Square,Indian Head,MD,20640.0,Charles County,301-743-3010,,
Richard R. Clark Senior Center,Senior Center,1210 Charles St,La Plata,MD,20646.0,Charles County,301-934-9305,,
Charles County Aging and Human Services,Government Agency,8190 Port Tobacco Rd,Port Tobacco,MD,20677.0,Charles County,301-934-9305,https://www.charlescountymd.gov/government/departments/community-services/aging-and-human-services,
Charles County Department of Social Services,Government Agency,200 Kent Ave,La Plata,MD,20646.0,Charles County,301-392-6400,,
Maryland Access Point (MAP) of Charles County,Government Agency,,,MD,,Charles County,301-934-0118,,
American Legion Post 82,Veterans Organization,6330 Crain Hwy,La Plata,MD,20646.0,Charles County,301-934-8221,,
VFW Post 10081,Veterans Organization,6101 Crain Hwy,La Plata,MD,20646.0,Charles County,301-934-8221,,
Charles County Veterans Affairs Office,Veterans Organization,,,MD,,Charles County,301-645-0555,,Government agency
Law Office of Virginia L. Yeoman,Financial/Legal Services,1320 Central Ave #202,Waldorf,MD,20601.0,Charles County,301-705-5655,,Elder Law
Raymond Funeral Service,Funeral Home,5635 Washington Ave,La Plata,MD,20646.0,Charles County,301-934-2920,https://www.raymondfuneralservice.com,
Brinsfield Funeral Homes,Funeral Home,30195 Three Notch Rd,Charlotte Hall,MD,20622.0,Charles County,301-472-4400,https://www.brinsfieldfuneral.com,
Arehart-Echols Funeral Home,Funeral Home,211 St Mary's Ave,La Plata,MD,20646.0,Charles County,301-934-8342,https://www.arehartechols.com,
Charles County Senior Living Expo,Event,90 Post Office Rd,Waldorf,MD,20602.0,Charles County,,,Held at Waldorf Senior and Recreational Center
