Organization_Name,Organization_Type,Address,City,State,Zip,County,Phone,Website,Notes
Herndon Senior Center,Senior Center,873 Grace St,Herndon,VA,20170.0,Fairfax County,703-464-6200,https://www.fairfaxcounty.gov/neighborhood-community-services/senior-centers/herndon,
Little River Glen Senior Center,Senior Center,4001 Barker Ct,Fairfax,VA,22032.0,Fairfax County,703-503-8703,https://www.fairfaxcounty.gov/neighborhood-community-services/senior-centers/little-river-glen,
Lincolnia Senior Center,Senior Center,4710 N Chambliss St,Alexandria,VA,22312.0,Fairfax County,703-914-0223,,
South County Senior Center,Senior Center,8350 Richmond Highway,Alexandria,VA,22309.0,Fairfax County,703-704-6216,,
Fairfax County Area Agency on Aging,Government Agency,12011 Government Center Pkwy,Fairfax,VA,22035.0,Fairfax County,703-324-7948,https://www.fairfaxcounty.gov/familyservices/older-adults,
Fairfax County Adult and Aging Services,Government Agency,12011 Government Center Pkwy,Fairfax,VA,22035.0,Fairfax County,703-324-7500,,
ElderLink,Government Agency,,,VA,,Fairfax County,703-324-5374,https://www.fairfaxcounty.gov/familyservices/older-adults/elderlink,Information and referral service
American Legion Post 177,Veterans Organization,3939 Oak St,Fairfax,VA,22030.0,Fairfax County,703-273-2250,https://www.post177.org,
VFW Post 8469,Veterans Organization,5703 Vogue Rd,Fairfax Station,VA,22039.0,Fairfax County,703-250-9181,,
Fairfax County Veterans Services,Veterans Organization,8350 Richmond Highway Suite 233,Alexandria,VA,22309.0,Fairfax County,703-704-6700,,Government agency
Everly-Wheatley Funeral Home,Funeral Home,1500 W Braddock Rd,Alexandria,VA,22302.0,Fairfax County,703-998-9200,https://www.dignitymemorial.com/funeral-homes/alexandria-va/everly-wheatley-funeral-home/4808,
Fairfax Memorial Funeral Home,Funeral Home,9902 Braddock Rd,Fairfax,VA,22032.0,Fairfax County,703-425-9702,https://www.fmfh.com,
Murphy Funeral Homes,Funeral Home,1102 W Broad St,Falls Church,VA,22046.0,Fairfax County,703-533-0341,https://www.murphyfuneralhomes.com,
Northern Virginia Aging Network (NVAN) Legislative Breakfast,Event,12000 Government Center Pkwy,Fairfax,VA,22035.0,Fairfax County,,,Held at Fairfax County Government Center
Fairfax County 50+ Employment Expo,Event,12000 Government Center Pkwy,Fairfax,VA,22035.0,Fairfax County,,,Held at Fairfax County Government Center
