Organization_Name,Organization_Type,Address,City,State,Zip,County,Phone,Website,Notes
Holiday Park Senior Center,Senior Center,3950 Ferrara Dr,Silver Spring,MD,20906.0,Montgomery County,240-777-4999,https://www.montgomerycountymd.gov/rec/facilities/seniorcenters/holidaypark/,
Schweinhaut Senior Center,Senior Center,1000 Forest Glen Rd,Silver Spring,MD,20901.0,Montgomery County,240-777-8085,https://www.montgomerycountymd.gov/rec/facilities/seniorcenters/schweinhaut/,
North Potomac Senior Center,Senior Center,13850 Travilah Rd,Rockville,MD,20850.0,Montgomery County,240-773-4805,,
Wheaton Senior Center,Senior Center,11701 Georgia Ave,Wheaton,MD,20902.0,Montgomery County,240-777-4940,,
Montgomery County Aging and Disability Services,Government Agency,401 Hungerford Dr,Rockville,MD,20850.0,Montgomery County,240-777-3000,https://www.montgomerycountymd.gov/hhs/program/ads/index.html,
Montgomery County Area Agency on Aging,Government Agency,401 Hungerford Dr,Rockville,MD,20850.0,Montgomery County,240-777-3000,,
Montgomery County Long Term Care Ombudsman Program,Government Agency,,,MD,,Montgomery County,240-777-3369,https://www.montgomerycountymd.gov/senior/ombudsman.html,
Montgomery County Veterans Affairs,Veterans Organization,401 Hungerford Dr,Rockville,MD,20850.0,Montgomery County,240-777-1246,,Government agency
American Legion Post 86,Veterans Organization,2013 Veirs Mill Rd,Rockville,MD,20851.0,Montgomery County,301-424-4486,,
The Elder & Disability Law Center,Financial/Legal Services,7910 Woodmont Ave #1430,Bethesda,MD,20814.0,Montgomery County,202-452-0000,,Elder law
Collins Funeral Home,Funeral Home,500 University Blvd W,Silver Spring,MD,20901.0,Montgomery County,301-384-5158,https://www.collinsfuneralhome.com,
Pumphrey's Bethesda-Chevy Chase Funeral Home,Funeral Home,7557 Wisconsin Ave,Bethesda,MD,20814.0,Montgomery County,301-652-2200,https://www.pumphreyfuneralhome.com,
De Vol Funeral Home,Funeral Home,10 East Deer Park Dr,Gaithersburg,MD,20877.0,Montgomery County,301-948-6800,https://www.devolfuneralhome.com,
50+ Employment Expo,Event,5701 Marinelli Rd,Rockville,MD,20852.0,Montgomery County,,,Held at Bethesda North Marriott Hotel & Conference Center
Montgomery County Senior Resource Fair,Event,506 S Frederick Ave,Gaithersburg,MD,20877.0,Montgomery County,,,Held at Activity Center at Bohrer Park
Morris Klein Esq.,Financial/Legal Services,4550 Montgomery Ave #775N,Bethesda,MD,20814.0,Montgomery County,301-652-4462,,Elder Law (serves DC area)
