CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Affiliated Entity Name,Affiliated Entity ID,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Rating Cycle 3 Standard Health Survey Date,Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Number of Health Revisits,Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date
495011,GEORGE WASHINGTON HEALTH & REHABILITATION,1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308,7037656107,290,Fairfax,For profit - Limited Liability company,96,84.2,,Medicare and Medicaid,N,ALEXANDRIA SNF OPERATIONS LLC,1967-01-01,HILL VALLEY HEALTHCARE,270.0,N,,N,N,N,Resident,Yes,3.0,,3.0,,3.0,,3.0,,4.0,,2.0,,,,1.81282,0.89462,0.55197,1.44659,3.25941,2.90988,0.37474,0.11579,34.4,,60.0,,1.0,,1.46087,1.07247,2.48269,0.93131,0.71329,4.12729,3.62803,1.68085,0.8295,0.51179,3.02214,2.69805,2023-06-14,11.0,11.0,1.0,64.0,1.0,0.0,64.0,2022-01-20,17.0,11.0,6.0,72.0,1.0,0.0,72.0,2019-10-10,12.0,12.0,0.0,60.0,1.0,0.0,60.0,66.0,0,6,,0,0.0,0,0,"1510 COLLINGWOOD ROAD,ALEXANDRIA,VA,22308",38.734,-77.058,,2025-03-01
495099,FAIRFAX REHABILITATION AND NURSING CENTER,10701 MAIN STREET,FAIRFAX,VA,22030,7032737705,288,Fairfax City,For profit - Limited Liability company,200,192.7,,Medicare and Medicaid,N,FAIRFAX OPERATOR LLC,1976-04-01,INNOVATIVE HEALTHCARE MANAGEMENT,285.0,N,,N,N,N,Resident,Yes,3.0,,3.0,,4.0,,5.0,,3.0,,2.0,,,,1.705,1.17382,0.66185,1.83568,3.54068,2.90822,0.42862,0.15925,48.6,,48.0,,1.0,,1.57988,1.15984,2.68495,1.00718,0.7714,4.46353,3.92359,1.46179,1.00639,0.56744,3.03562,2.49338,2024-08-26,3.0,0.0,3.0,12.0,0.0,0.0,12.0,2022-05-05,28.0,19.0,12.0,144.0,1.0,0.0,144.0,2019-10-25,3.0,3.0,0.0,12.0,1.0,0.0,12.0,56.0,0,15,,0,0.0,0,0,"10701 MAIN STREET,FAIRFAX,VA,22030",38.8491,-77.315,,2025-03-01
495102,CARLIN SPRINGS HEALTH & REHABILITATION,550 SOUTH CARLIN SPRINGS ROAD,ARLINGTON,VA,22204,7033797200,60,Arlington,Non profit - Corporation,161,138.0,,Medicare and Medicaid,N,CARLIN SPRINGS SNF OPERATIONS LLC,1977-01-03,HILL VALLEY HEALTHCARE,270.0,N,,N,Y,N,Resident,Yes,2.0,,1.0,,5.0,,5.0,,4.0,,2.0,,,,1.58581,1.07464,0.53399,1.60863,3.19445,2.82964,0.30948,0.0464,32.5,,56.3,,3.0,,1.3746,1.00913,2.33607,0.87631,0.67117,3.88355,3.41377,1.56265,1.05895,0.52619,3.1478,2.78831,2022-07-27,19.0,19.0,6.0,116.0,2.0,58.0,174.0,2019-02-07,20.0,20.0,0.0,179.0,2.0,90.0,269.0,2017-10-04,5.0,2.0,3.0,24.0,1.0,0.0,24.0,180.667,0,5,,1,175220.53,0,1,"550 SOUTH CARLIN SPRINGS ROAD,ARLINGTON,VA,22204",38.8611,-77.129,,2025-03-01
495114,"REGENCY CARE OF ARLINGTON, LLC",1785 SOUTH HAYES STREET,ARLINGTON,VA,22202,7039205700,60,Arlington,For profit - Individual,240,160.7,,Medicare and Medicaid,N,REGENCY CARE OF ARLINGTON LLC,1978-10-23,REGENCY CARE,440.0,N,,N,N,N,Both,Yes,3.0,,3.0,,2.0,,1.0,,2.0,,3.0,,,,2.16292,1.15391,0.66081,1.81472,3.97765,3.787,0.61,0.05916,43.0,,57.7,,1.0,,1.45267,1.06645,2.46876,0.92608,0.70929,4.10412,3.60766,2.01679,1.07595,0.61617,3.7089,3.53114,2023-07-12,11.0,11.0,0.0,52.0,1.0,0.0,52.0,2022-08-31,5.0,5.0,0.0,52.0,1.0,0.0,52.0,2020-02-27,11.0,11.0,0.0,64.0,1.0,0.0,64.0,54.0,0,0,,0,0.0,0,0,"1785 SOUTH HAYES STREET,ARLINGTON,VA,22202",38.8574,-77.056,,2025-03-01
495121,CHERRYDALE HEALTH & REHABILITATION CENTER,3710 LEE HIGHWAY,ARLINGTON,VA,22207,7032437640,60,Arlington,For profit - Corporation,180,202.4,,Medicare and Medicaid,N,MEDICAL FACILITIES OF AMERICA XI LIMITED PARTNERSHIP,1980-04-29,MEDICAL FACILITIES OF AMERICA,343.0,N,,N,Y,N,Resident,Yes,2.0,,1.0,,5.0,,5.0,,5.0,,2.0,,,,1.75371,0.90474,0.50246,1.40719,3.1609,2.70147,0.29282,0.09781,43.7,,50.0,,0.0,,1.53311,1.1255,2.60546,0.97736,0.74857,4.33138,3.80743,1.54942,0.79935,0.44393,2.7927,2.38678,2022-08-18,18.0,18.0,2.0,124.0,2.0,62.0,186.0,2020-01-30,11.0,11.0,0.0,72.0,1.0,0.0,72.0,2018-09-27,11.0,11.0,0.0,56.0,1.0,0.0,56.0,126.333,0,1,,1,95306.25,0,1,"3710 LEE HIGHWAY,ARLINGTON,VA,22207",38.8961,-77.105,,2025-03-01
495155,ANNANDALE  HEALTHCARE CENTER,6700 COLUMBIA PIKE,ANNANDALE,VA,22003,7032567000,290,Fairfax,For profit - Corporation,222,214.1,,Medicare and Medicaid,N,"COLUMBIA LEASING CO., LLC",1985-04-01,COMMUNICARE HEALTH,153.0,N,,N,Y,N,Resident,Yes,2.0,,2.0,,4.0,,4.0,,3.0,,4.0,,,,2.13137,0.8681,0.45365,1.32175,3.45311,3.08939,0.38255,0.04878,19.6,,46.7,,1.0,,1.19528,0.87749,2.03134,0.762,0.58362,3.37695,2.96845,2.41531,0.98375,0.51408,3.91314,3.50096,2021-03-05,15.0,15.0,0.0,100.0,3.0,70.0,170.0,2018-08-23,11.0,11.0,0.0,56.0,1.0,0.0,56.0,2017-03-02,6.0,5.0,1.0,48.0,1.0,0.0,48.0,111.667,0,4,,2,101574.75,0,2,"6700 COLUMBIA PIKE,ANNANDALE,VA,22003",38.8364,-77.177,,2025-03-01
495171,GOODWIN HOUSE BAILEY'S CROSSROADS,3440 S JEFFERSON STREET,FALLS CHURCH,VA,22041,7035787261,290,Fairfax,Non profit - Corporation,73,68.4,,Medicare and Medicaid,N,GOODWIN HOUSE INCORPORATED,1987-11-04,,,Y,,N,N,N,Resident,Yes,5.0,,4.0,,5.0,,4.0,,5.0,,5.0,,,,3.08182,0.45891,1.75511,2.21402,5.29584,4.84635,1.34331,0.06166,21.7,,20.0,,0.0,,1.23317,0.90531,2.09573,0.78615,0.60212,3.484,3.06255,3.38508,0.50407,1.92782,5.81697,5.32325,2024-08-21,8.0,8.0,0.0,40.0,1.0,0.0,40.0,2023-04-26,1.0,1.0,0.0,8.0,1.0,0.0,8.0,2021-11-04,7.0,7.0,0.0,28.0,1.0,0.0,28.0,27.333,0,0,,0,0.0,0,0,"3440 S JEFFERSON STREET,FALLS CHURCH,VA,22041",38.8519,-77.119,,2025-03-01
495174,DULLES HEALTH & REHAB CENTER,2978 CENTREVILLE ROAD,HERNDON,VA,20171,7039345000,290,Fairfax,For profit - Corporation,166,154.0,,Medicare and Medicaid,N,CSP NOVA LLC,1987-12-09,COMMONWEALTH CARE OF ROANOKE,152.0,N,,N,Y,N,Resident,Yes,4.0,,3.0,,5.0,,5.0,,5.0,,3.0,,,,2.0992,1.38079,0.45352,1.83431,3.93351,3.50765,0.31121,0.10067,8.5,,6.7,,1.0,,1.48481,1.09005,2.52338,0.94657,0.72498,4.19494,3.68749,1.915,1.25963,0.41373,3.58835,3.19986,2021-08-04,4.0,4.0,0.0,16.0,1.0,0.0,16.0,2018-09-27,20.0,18.0,2.0,84.0,1.0,0.0,84.0,2017-07-27,20.0,11.0,6.0,128.0,1.0,0.0,128.0,57.333,0,6,5.0,1,3250.0,0,1,"2978 CENTREVILLE ROAD,HERNDON,VA,20171",38.9246,-77.417,,2025-03-01
495197,BELVOIR WOODS HEALTH CARE CENTER AT THE FAIRFAX,9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060,7037991333,290,Fairfax,For profit - Corporation,56,49.9,,Medicare,N,SH OPCO THE FAIRFAX LLC,1989-08-02,SUNRISE SENIOR LIVING,498.0,Y,,N,Y,N,Both,Yes,5.0,,4.0,,5.0,,4.0,,5.0,,5.0,,,,2.47055,1.17051,0.8206,1.99112,4.46167,4.00918,0.35775,0.12504,25.4,,25.0,,0.0,,1.33358,0.97902,2.26636,0.85016,0.65114,3.76766,3.3119,2.50935,1.1889,0.83349,4.53174,4.07215,2023-01-11,2.0,2.0,0.0,8.0,1.0,0.0,8.0,2021-08-11,7.0,7.0,0.0,32.0,1.0,0.0,32.0,2019-03-28,7.0,7.0,0.0,32.0,1.0,0.0,32.0,20.0,0,0,,0,0.0,0,0,"9160  BELVOIR WOODS PKWY,FORT BELVOIR,VA,22060",38.7092,-77.19,,2025-03-01
495205,AUGUST HEALTHCARE AT ILIFF,8000 ILIFF DRIVE,DUNN LORING,VA,22027,7035601000,290,Fairfax,For profit - Corporation,130,109.4,,Medicare and Medicaid,N,DUNN LORING VA OPCO LLC,1989-11-29,SIMCHA HYMAN & NAFTALI ZANZIPER,580.0,N,,N,N,N,Resident,Yes,4.0,,3.0,,5.0,,5.0,,3.0,,4.0,,,,2.28531,1.63025,1.11397,2.74422,5.02954,4.55607,1.04896,0.05481,14.7,,15.2,,0.0,,1.96233,1.44061,3.33491,1.25099,0.95814,5.54404,4.8734,1.57746,1.1253,0.76893,3.47169,3.14487,2023-03-23,8.0,8.0,0.0,48.0,1.0,0.0,48.0,2021-03-18,6.0,4.0,2.0,44.0,1.0,0.0,44.0,2018-06-21,6.0,6.0,0.0,24.0,1.0,0.0,24.0,42.667,0,4,,1,16672.5,0,1,"8000 ILIFF DRIVE,DUNN LORING,VA,22027",38.8907,-77.221,,2025-03-01
