Organization_Name,Organization_Type,Address,City,State,Zip,County,Phone,Website,Notes
Bowie Senior Center,Senior Center,14900 Health Center Dr,Bowie,MD,20716.0,Prince George's County,301-809-2300,https://www.cityofbowie.org/288/Senior-Center,
Gwendolyn Britt Senior Activity Center,Senior Center,4009 Wallace Rd,North Brentwood,MD,20722.0,Prince George's County,301-699-1238,https://www.pgparks.com/3837/Gwendolyn-Britt,
Laurel-Beltsville Senior Activity Center,Senior Center,7120 Contee Rd,Laurel,MD,20707.0,Prince George's County,301-206-3350,https://www.pgparks.com/3841/Laurel-Beltsville,
Camp Springs Senior Activity Center,Senior Center,6420 Allentown Rd,Camp Springs,MD,20748.0,Prince George's County,301-449-0490,https://www.pgparks.com/4625/Camp-Springs,
Prince George's County Department of Family Services,Government Agency,6420 Allentown Rd,Camp Springs,MD,20748.0,Prince George's County,301-265-8450,https://www.princegeorgescountymd.gov/1728/Aging-Disabilities-Services,Aging and Disabilities Services Division
Maryland Access Point (MAP) of Prince George's County,Government Agency,,,MD,,Prince George's County,301-265-8450,https://www.princegeorgescountymd.gov/1614/Maryland-Access-Point-MAP,
Prince George's County Department of Social Services,Government Agency,805 Brightseat Rd,Landover,MD,20785.0,Prince George's County,301-909-7000,https://www.princegeorgescountymd.gov/1635/Social-Services,
VFW Post 9619,Veterans Organization,6420 Allentown Rd,Camp Springs,MD,20748.0,Prince George's County,301-899-9832,,
The American Legion Post 275,Veterans Organization,8201 Laurel Bowie Rd,Bowie,MD,20715.0,Prince George's County,301-464-9814,,
Elder Law & Estate Planning Center,Financial/Legal Services,9701 Apollo Dr #301,Largo,MD,20774.0,Prince George's County,301-464-7448,,Estate planning
Prince George's County Veterans Affairs Office,Veterans Organization,1801 McCormick Drive Suite 200,Largo,MD,20774.0,Prince George's County,301-780-8260,,Government agency
Beall Funeral Home,Funeral Home,6512 NW Crain Hwy,Bowie,MD,20715.0,Prince George's County,301-805-5544,https://www.beallfuneral.com,
Marshall-March Funeral Homes,Funeral Home,4308 Suitland Rd,Suitland,MD,20746.0,Prince George's County,301-736-1616,https://marshallmarchfh.com,
Lee Funeral Home,Funeral Home,6633 Old Alexandria Ferry Rd,Clinton,MD,20735.0,Prince George's County,301-868-0900,https://www.leefuneralhomes.com,
Annual Prince George's County Aging Conference,Event,301 Largo Rd,Largo,MD,20774.0,Prince George's County,,,Held at Prince George's Community College
Pope Funeral Homes,Funeral Home,5538 Marlboro Pike,District Heights,MD,20747.0,Prince George's County,301-459-8200,https://www.popefh.com,Serves DC area
