Organization_Name,Organization_Type,Address,City,State,Zip,County,Phone,Website,Notes
Hattie Holmes Senior Wellness Center,Senior Center,324 Kennedy St NW,Washington,DC,20011.0,Washington DC,202-291-6170,https://dacl.dc.gov/service/senior-wellness-centers,
Model Cities Senior Wellness Center,Senior Center,1901 Evarts St NE,Washington,DC,20018.0,Washington DC,202-635-1900,https://dacl.dc.gov/service/senior-wellness-centers,
Washington Seniors Wellness Center,Senior Center,3531 Georgia Ave NW,Washington,DC,20010.0,Washington DC,202-541-6100,,
Around Town DC,Senior Center,4125 Albemarle St NW,Washington,DC,20016.0,Washington DC,202-223-9679,https://aroundtowndc.org,Community organization
DC Department of Aging and Community Living,Government Agency,500 K St NE,Washington,DC,20002.0,Washington DC,202-724-5626,https://dacl.dc.gov/,
DC Office on Aging,Government Agency,500 K St NE,Washington,DC,20002.0,Washington DC,202-724-5626,,
Adult Protective Services (DC),Government Agency,,,DC,,Washington DC,202-541-3950,https://dhs.dc.gov/service/adult-protective-services,
American Legion Post 8,Veterans Organization,224 D St SE,Washington,DC,20003.0,Washington DC,202-543-9163,,
DC Veterans Affairs Medical Center,Veterans Organization,50 Irving St NW,Washington,DC,20422.0,Washington DC,202-745-8000,https://www.washingtondc.va.gov/,
Joseph Gawler's Sons,Funeral Home,5130 Wisconsin Ave NW,Washington,DC,20016.0,Washington DC,202-966-6400,https://www.dignitymemorial.com/funeral-homes/washington-dc/joseph-gawlers-sons-llc/1761,
McGuire Funeral Home,Funeral Home,7400 Georgia Ave NW,Washington,DC,20012.0,Washington DC,202-882-6600,https://www.mcguire-services.com,
Mayor's Annual Senior Symposium,Event,801 Mt Vernon Pl NW,Washington,DC,20001.0,Washington DC,,,Held at Walter E. Washington Convention Center
DC Senior Health & Wellness Fair,Event,801 Mount Vernon Place NW,Washington,DC,20001.0,Washington DC,,,Held at Washington Convention Center
