State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,Numerator for how often the home health team began their patients' care in a timely manner,Denominator for how often the home health team began their patients' care in a timely manner,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,Numerator for how often the home health team determined whether patients received a flu shot for the current flu season,Denominator for how often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,Numerator for how often patients got better at walking or moving around,Denominator for how often patients got better at walking or moving around,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,Numerator for how often patients got better at getting in and out of bed,Denominator for how often patients got better at getting in and out of bed,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,Numerator for how often patients got better at bathing,Denominator for how often patients got better at bathing,How often patients got better at bathing,Footnote for how often patients got better at bathing,Numerator for how often patients' breathing improved,Denominator for how often patients' breathing improved,How often patients' breathing improved,Footnote for how often patients' breathing improved,Numerator for how often patients got better at taking their drugs correctly by mouth,Denominator for how often patients got better at taking their drugs correctly by mouth,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,Numerator for Changes in skin integrity post-acute care: pressure ulcer/injury,Denominator for Changes in skin integrity post-acute care: pressure ulcer/injury,Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,Numerator for how often physician-recommended actions to address medication issues were completely timely,Denominator for how often physician-recommended actions to address medication issues were completely timely,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Numerator for Percent of Residents Experiencing One or More Falls with Major Injury,Denominator for Percent of Residents Experiencing One or More Falls with Major Injury,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Numerator for Discharge Function Score,Denominator for Discharge Function Score,Discharge Function Score,Footnote for Discharge Function Score,Numerator for Transfer of Health Information to the Provider,Denominator for Transfer of Health Information to the Provider,Transfer of Health Information to the Provider,Footnote for Transfer of Health Information to the Provider,Numerator for Transfer of Health Information to the Patient,Denominator for Transfer of Health Information to the Patient,Transfer of Health Information to the Patient,Footnote for Transfer of Health Information to the Patient,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
DC,97000,MEDSTAR HEALTH VNA,4301 CONNECTICUT AVENUE 441,WASHINGTON,20008,2028826988,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,07/01/1966,4,-,"2,426","2,592",93.6,-,"1,192","1,626",73.3,-,"1,695","1,996",90.8,-,"1,727","1,974",91.3,-,"1,735","2,000",88.2,-,"1,254","1,470",92.4,-,"1,467","1,803",89.6,-,2,"2,034",0.0,-,"2,356","2,595",90.8,-,2,"2,576",0.1,-,"1,431","1,999",71.59,-,306,375,81.60,-,"1,295","1,659",78.06,-,"1,669","2,283",73.11,77.79,76.08,79.35,Better Than National Rate,-,69,"1,405",4.91,4.49,3.68,5.59,Same As National Rate,-,69,"1,206",5.72,5.87,4.78,7.02,Better Than National Rate,-,0.90,-,"3,269"
DC,97024,AMEDISYS HOME HEALTH,AMEDISYS HOME HEALTH,WASHINGTON,20003,2027837892,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,02/16/1990,3.5,-,688,779,88.3,-,298,483,61.7,-,519,618,87.4,-,522,618,90.1,-,530,618,88.9,-,402,435,96.7,-,510,612,86.0,-,2,633,0.0,-,713,782,91.2,-,5,776,0.6,-,440,614,71.66,-,33,45,73.33,-,392,588,66.67,-,919,"1,241",74.05,79.84,77.43,81.97,Better Than National Rate,-,19,499,3.81,3.86,2.87,5.23,Same As National Rate,-,46,602,7.64,8.28,6.85,10.76,Same As National Rate,-,0.97,-,"1,965"
DC,97025,HMI HOME HEALTH DIVISION,"1707 L STREET, NW SUITE 900",WASHINGTON,20036,2028291111,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,06/30/1973,-,The number of patient episodes for this measure is too small to report.,24,25,96.0,-,14,22,63.6,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,25,25,100.0,-,0,25,0.0,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,14,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,6,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,14
DC,97036,"IDEAL NURSING SERVICES, INC.","820 UPSHUR STREET, NW",WASHINGTON,20011,2027230304,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,06/27/1994,-,The number of patient episodes for this measure is too small to report.,62,71,87.3,-,33,38,86.8,-,31,49,68.2,-,37,47,92.0,-,33,49,71.3,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,0,49,0.0,-,65,71,91.5,-,0,71,0.0,-,35,49,71.43,-,-,-,-,The number of patient episodes for this measure is too small to report.,11,31,35.48,-,-,15,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,8,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,6,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.70,-,21
DC,97041,VMT HOME HEALTH AGENCY,"955 L'ENFANT PLAZA, SW SUITE 985",WASHINGTON,20024,2022823005,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,05/24/1995,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-
DC,97049,PROFESSIONAL HEALTHCARE,"501 SCHOOL STREET, SW  SUITE 200",WASHINGTON,20024,2029558355,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,04/21/2000,3.5,-,453,459,98.7,-,268,310,86.5,-,269,301,87.1,-,274,301,89.0,-,281,301,91.2,-,250,272,92.8,-,269,299,86.7,-,0,304,0.0,-,417,459,90.8,-,2,459,0.4,-,205,294,69.73,-,40,51,78.43,-,185,253,73.12,-,487,650,74.92,80.95,77.52,83.47,Better Than National Rate,-,13,420,3.10,3.66,2.70,4.93,Same As National Rate,-,32,290,11.03,9.93,7.28,12.80,Same As National Rate,-,0.97,-,"1,158"
DC,97050,"PREMIUM SELECT HOME CARE, INC",5513 ILLINOIS AVENUE NW,WASHINGTON,20011,2028829310,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,09/22/2000,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,17,39,43.59,50.44,37.59,64.27,Worse Than National Rate,-,-,13,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,16,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.92,-,63
DC,97051,ASAP SERVICES,"1822 JEFFERSON PL, NW",WASHINGTON,20036,2022932931,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,12/13/2002,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-
DC,97052,"HUMAN TOUCH HOME HEALTH CARE AGENCY, INC","1416 9TH STREET, NW",WASHINGTON,20001,2024839111,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,06/13/2003,3,-,573,585,97.9,-,328,370,88.6,-,399,446,87.6,-,397,446,85.3,-,388,445,87.7,-,224,257,89.4,-,400,442,87.2,-,2,454,0.3,-,582,586,99.3,-,0,586,0.0,-,304,445,68.31,-,18,29,62.07,-,316,425,74.35,-,136,238,57.14,61.95,54.85,69.42,Worse Than National Rate,-,3,77,3.90,3.93,2.90,5.52,Same As National Rate,-,10,104,9.62,9.91,6.09,15.33,Same As National Rate,-,0.86,-,390
DC,97053,BERHAN HOME HEALTH CARE AGENCY INC,7826 EASTERN AVENUE NW SUITE LL 16,WASHINGTON,20012,2027231100,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,10/09/2003,3,-,258,279,92.5,-,95,172,55.2,-,149,228,73.9,-,178,221,87.4,-,171,225,81.4,-,60,68,99.8,-,88,131,82.8,-,1,236,0.6,-,240,283,84.8,-,1,283,0.4,-,134,230,58.26,-,18,70,25.71,-,71,166,42.77,-,89,310,28.71,31.54,27.52,36.93,Worse Than National Rate,-,8,83,9.64,4.49,3.12,6.24,Same As National Rate,-,13,167,7.78,8.97,5.95,13.26,Same As National Rate,-,0.75,-,334
