CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Ownership Type,Certification Date
491500,CAPITAL HOSPICE,"3180 FAIRVIEW PARK DR, STE 600",,FALLS CHURCH,VA,22042,Fairfax,(703) 712-4874,3,For-Profit,05/01/1984
491551,COMPASSUS - RESTON,14900 CONFERENCE CENTER DRIVE SUITE 170,,CHANTILLY,VA,20151,Fairfax,(571) 262-5200,3,For-Profit,11/18/1998
491553,GOODWIN HOUSE PALLIATIVE CARE AND HOSPICE,3440 SOUTH JEFFERSON STREET,,FALLS CHURCH,VA,22041,Fairfax,(703) 578-7108,3,Non-Profit,08/25/1999
491565,PROMEDICA HOSPICE (FAIRFAX),3975 FAIR RIDGE DRIVE,,FARIFAX,VA,22033,Fairfax City,(703) 273-8693,3,For-Profit,05/22/2002
491581,VITAS INNOVATIVE HOSPICE CARE,"3251 BLENHEIM BLVD, SUITE 200",,FAIRFAX,VA,22030,Fairfax City,(703) 270-4300,3,For-Profit,03/01/2006
491599,"PROFESSIONAL HEALTHCARE RESOURCES, INC","7619 LITTLE RIVER TURNPIKE, SUITE 600",,ANNANDALE,VA,22003,Fairfax,(703) 379-9012,3,For-Profit,10/04/2010
491623,THE MEDICAL TEAM,1896 PRESTON WHITE DRIVE,,RESTON,VA,20191,Fairfax,(703) 390-2300,3,For-Profit,03/15/2017
491629,PHS HOSPICE CARE,8315 LEE HIGHWAY SUITE 202,,FAIRFAX,VA,22031,Fairfax City,(703) 352-1939,3,For-Profit,04/04/2018
491642,EVERGREEN HEALTH CARE MANAGEMENT,"4115 ANNANDALE ROAD, SUITE 208",,ANNANDALE,VA,22003,Fairfax,(703) 534-5049,3,For-Profit,06/11/2021
491653,HOSPICE PLUS OF VIRGINIA LLC,8500 LEESBURG PIKE #500,,VIENNA,VA,22182,Fairfax,(571) 766-0922,3,,02/28/2023
