Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,HCAHPS Measure ID,HCAHPS Question,HCAHPS Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,HCAHPS Answer Percent,HCAHPS Answer Percent Footnote,HCAHPS Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Start Date,End Date
210003,UNIVERSITY OF MD CAPITAL REGION MEDICAL CENTER,901 NORTH HARRY S TRUMAN DRIVE,UPPER MARLBORO,MD,20774,PRINCE GEORGES,(301) 618-2000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,67,,Not Applicable,461,,8,,04/01/2023,03/31/2024
210004,HOLY CROSS HOSPITAL,1500 FOREST GLEN ROAD,SILVER SPRING,MD,20910,MONTGOMERY,(301) 754-7000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,66,,Not Applicable,785,,22,,04/01/2023,03/31/2024
210016,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,11890 HEALING WAY,SILVER SPRING,MD,20904,MONTGOMERY,(240) 637-4000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,73,,Not Applicable,936,,12,,04/01/2023,03/31/2024
210018,MEDSTAR MONTGOMERY MEDICAL CENTER,18101 PRINCE PHILIP DRIVE,OLNEY,MD,20832,MONTGOMERY,(301) 774-8771,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,68,,Not Applicable,478,,18,,04/01/2023,03/31/2024
210022,SUBURBAN HOSPITAL,8600 OLD GEORGETOWN ROAD,BETHESDA,MD,20814,MONTGOMERY,(301) 896-2576,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,76,,Not Applicable,1907,,25,,04/01/2023,03/31/2024
210023,"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC",2001 MEDICAL PARKWAY,ANNAPOLIS,MD,21401,ANNE ARUNDEL,(443) 481-1000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,75,,Not Applicable,991,,19,,04/01/2023,03/31/2024
210035,UNIVERSITY OF MD CHARLES REGIONAL  MEDICAL CENTER,5 GARRETT AVENUE,LA PLATA,MD,20646,CHARLES,(301) 609-4265,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,71,,Not Applicable,399,,13,,04/01/2023,03/31/2024
210043,UNIVERSITY OF MD BALTIMORE WASHINGTON MEDICAL CENTER,301 HOSPITAL DRIVE,GLEN BURNIE,MD,21061,ANNE ARUNDEL,(410) 595-1967,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,78,,Not Applicable,905,,18,,04/01/2023,03/31/2024
210051,"LUMINIS HEALTH DOCTORS COMMUNITY MEDICAL CTR, INC",8118 GOOD LUCK ROAD,LANHAM,MD,20706,PRINCE GEORGES,(301) 552-8118,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,71,,Not Applicable,703,,12,,04/01/2023,03/31/2024
210057,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,9901 MEDICAL CENTER DRIVE,ROCKVILLE,MD,20850,MONTGOMERY,(240) 826-6527,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,74,,Not Applicable,1509,,15,,04/01/2023,03/31/2024
210060,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,11711 LIVINGSTON ROAD,FORT WASHINGTON,MD,20744,PRINCE GEORGES,(301) 292-7000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,70,,Not Applicable,185,,13,,04/01/2023,03/31/2024
210062,MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,7503 SURRATTS ROAD,CLINTON,MD,20735,PRINCE GEORGES,(301) 868-8000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,63,,Not Applicable,765,,11,,04/01/2023,03/31/2024
210065,HOLY CROSS GERMANTOWN HOSPITAL,19801 OBSERVATION DRIVE,GERMANTOWN,MD,20876,MONTGOMERY,(301) 557-6020,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,67,,Not Applicable,551,,19,,04/01/2023,03/31/2024
21007F,Walter Reed National Military Med Cen,4494 Palmer Rd N,Bethesda,MD,20814,MONTGOMERY,(301) 295-4000,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,83,,Not Applicable,1241,,30,,04/01/2023,03/31/2024
