State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,Numerator for how often the home health team began their patients' care in a timely manner,Denominator for how often the home health team began their patients' care in a timely manner,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,Numerator for how often the home health team determined whether patients received a flu shot for the current flu season,Denominator for how often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,Numerator for how often patients got better at walking or moving around,Denominator for how often patients got better at walking or moving around,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,Numerator for how often patients got better at getting in and out of bed,Denominator for how often patients got better at getting in and out of bed,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,Numerator for how often patients got better at bathing,Denominator for how often patients got better at bathing,How often patients got better at bathing,Footnote for how often patients got better at bathing,Numerator for how often patients' breathing improved,Denominator for how often patients' breathing improved,How often patients' breathing improved,Footnote for how often patients' breathing improved,Numerator for how often patients got better at taking their drugs correctly by mouth,Denominator for how often patients got better at taking their drugs correctly by mouth,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,Numerator for Changes in skin integrity post-acute care: pressure ulcer/injury,Denominator for Changes in skin integrity post-acute care: pressure ulcer/injury,Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,Numerator for how often physician-recommended actions to address medication issues were completely timely,Denominator for how often physician-recommended actions to address medication issues were completely timely,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Numerator for Percent of Residents Experiencing One or More Falls with Major Injury,Denominator for Percent of Residents Experiencing One or More Falls with Major Injury,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Numerator for Discharge Function Score,Denominator for Discharge Function Score,Discharge Function Score,Footnote for Discharge Function Score,Numerator for Transfer of Health Information to the Provider,Denominator for Transfer of Health Information to the Provider,Transfer of Health Information to the Provider,Footnote for Transfer of Health Information to the Provider,Numerator for Transfer of Health Information to the Patient,Denominator for Transfer of Health Information to the Patient,Transfer of Health Information to the Patient,Footnote for Transfer of Health Information to the Patient,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
MD,217008,VNA OF MARYLAND,400 RED BROOK BLVD SUITE 220,OWINGS MILLS,21117,4105942600,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,07/01/1966,3.5,-,"2,189","2,284",95.8,-,951,"1,438",66.1,-,"1,470","1,646",86.7,-,"1,474","1,641",88,-,"1,510","1,651",89.4,-,"1,145","1,233",92.6,-,"1,461","1,631",86.3,-,1,"1,757",0.1,-,"1,907","2,284",83.5,-,14,"2,273",0.6,-,"1,083","1,649",65.68,-,68,80,85,-,"1,601","1,677",95.47,-,"2,801","3,610",77.59,83.52,82.41,84.68,Better Than National Rate,-,102,"2,832",3.6,3.88,3.24,4.43,Same As National Rate,-,141,"1,453",9.7,9.22,7.95,10.66,Same As National Rate,-,1,-,"5,133"
MD,217030,HOLY CROSS HOME CARE AND HOSPICE,10720 COLUMBIA PIKE SECOND FLOOR,SILVER SPRING,20901,3017544663,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,05/21/1968,4,-,"1,589","1,645",96.6,-,798,993,80.4,-,"1,120","1,213",89.8,-,"1,110","1,213",92.9,-,"1,128","1,213",91.1,-,665,730,94.3,-,"1,140","1,206",92.7,-,3,"1,272",0.2,-,"1,451","1,645",88.2,-,4,"1,504",0.3,-,817,"1,208",67.63,-,35,44,79.55,-,"1,216","1,228",99.02,-,"1,186","1,528",77.62,82.36,80.07,84.17,Better Than National Rate,-,32,"1,011",3.17,3.67,2.83,4.79,Same As National Rate,-,73,750,9.73,10.43,8.57,12.98,Same As National Rate,-,1.01,-,"1,858"
MD,217031,WESTERN MARYLAND HEALTH SYSTEM HOME CARE,1050 WEST INDUSTRIAL BOULEVARD SUITE 19,CUMBERLAND,21502,2409649100,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,07/01/1969,3.5,-,"2,022","2,060",98.2,-,657,"1,212",54.2,-,"1,423","1,562",84.7,-,"1,452","1,561",88.2,-,"1,438","1,561",87.7,-,"1,264","1,411",87.5,-,"1,465","1,555",85.5,-,15,"1,582",1,-,"1,988","2,060",96.5,-,11,"2,059",0.5,-,"1,268","1,562",81.18,-,39,39,100,-,"1,528","1,540",99.22,-,"2,002","2,557",78.29,89.28,87.83,90.74,Better Than National Rate,-,103,"2,123",4.85,4.38,3.6,5.09,Same As National Rate,-,105,"1,248",8.41,7.32,6.16,8.67,Better Than National Rate,-,1.05,-,"2,639"
MD,217032,"ADVENTIST HOME HEALTH SERVICES, INC.",12041 BOURNEFIELD WAYSUITE B,SILVER SPRING,20904,3015924400,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,01/03/1974,4.5,-,"5,172","5,174",100,-,"2,512","3,135",80.1,-,"3,680","3,999",90.2,-,"3,735","3,980",91.6,-,"3,711","4,011",90.9,-,"2,402","2,544",96.7,-,"3,586","3,941",87.8,-,2,"4,097",0.1,-,"5,144","5,174",99.4,-,18,"5,150",0.3,-,"2,803","4,010",69.9,-,663,677,97.93,-,"3,370","3,420",98.54,-,"4,650","5,838",79.65,84.28,83.25,85.7,Better Than National Rate,-,111,"4,270",2.6,3.21,2.69,3.7,Better Than National Rate,-,231,"3,109",7.43,7.59,6.74,8.51,Better Than National Rate,-,0.99,-,"7,614"
MD,217034,FREDERICK HEALTH HOME CARE,1 FREDERICK HEALTH WAY,FREDERICK,21701,2405663222,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,01/21/1974,3,-,"1,764","1,862",94.7,-,758,"1,075",70.5,-,"1,268","1,431",86.6,-,"1,266","1,385",92.7,-,"1,287","1,425",89.1,-,728,835,89.3,-,"1,184","1,353",83.2,-,1,"1,476",0.3,-,"1,794","1,862",96.3,-,13,"1,836",0.7,-,"1,210","1,438",84.14,-,189,193,97.93,-,"1,255","1,283",97.82,-,"1,910","2,477",77.11,81.6,79.68,83.01,Better Than National Rate,-,70,"1,874",3.74,3.78,3.14,4.58,Same As National Rate,-,99,"1,164",8.51,8.76,7.33,10.36,Same As National Rate,-,0.99,-,"2,811"
MD,217036,"PHR OF BALTIMORE, INC.",1501 S EDGEWOOD ST SUITE A,BALTIMORE,21227,4103682825,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,01/16/1975,3,-,257,260,98.8,-,152,169,89.9,-,121,142,82.8,-,126,142,87,-,125,142,87.2,-,114,130,86,-,130,142,89.4,-,0,145,0,-,244,260,93.8,-,3,260,1.2,-,80,137,58.39,-,46,59,77.97,-,59,86,68.6,-,165,281,58.72,71.2,64.42,79.07,Same As National Rate,-,10,163,6.13,4.16,3.1,5.81,Same As National Rate,-,19,129,14.73,9.46,6.92,13.08,Same As National Rate,-,1.2,-,597
MD,217040,HOME CALL - FREDERICK,5301 BUCKEYSTOWN PIKE SUITE 425,FREDERICK,21704,2402154668,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,03/15/1979,4.5,-,"2,911","2,955",98.5,-,"1,126","1,838",61.3,-,"1,959","2,147",90.9,-,"1,959","2,147",91.4,-,"1,987","2,150",92,-,"1,875","2,022",91.6,-,"1,919","2,139",91.8,-,5,"2,273",0.1,-,"2,538","2,955",85.9,-,29,"2,946",1,-,"1,284","2,152",59.67,-,242,280,86.43,-,"1,906","1,993",95.63,-,"3,369","4,210",80.02,88.6,87.36,90.04,Better Than National Rate,-,82,"2,357",3.48,3.76,3.21,4.56,Same As National Rate,-,180,"2,080",8.65,7.78,6.88,8.7,Better Than National Rate,-,0.97,-,"5,750"
MD,217045,AMEDISYS HOME HEALTH CARE,"134 INDUSTRY LANE, SUITE 3",FOREST HILL,21050,4104206412,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,11/15/1979,4,-,"1,998","2,002",99.8,-,896,"1,209",74.1,-,"1,422","1,502",90.1,-,"1,380","1,501",91.7,-,"1,447","1,502",91.9,-,"1,389","1,438",92.1,-,"1,417","1,498",88.7,-,2,"1,550",0.1,-,"1,987","2,002",99.3,-,16,"1,999",0.8,-,"1,161","1,497",77.56,-,45,66,68.18,-,"1,093","1,484",73.65,-,"1,924","2,385",80.67,88.3,87.01,89.87,Better Than National Rate,-,59,"1,618",3.65,3.67,2.98,4.63,Same As National Rate,-,117,"1,252",9.35,7.86,6.53,9.26,Better Than National Rate,-,0.99,-,"2,998"
MD,217047,REVIVAL HOMECARE AGENCY - HOME HEALTH,"1101 MERCANTILE LANE, SUITE 292",UPPER MARLBORO,20774,7032259477,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,07/01/1980,4,-,"2,542","2,761",92.1,-,"1,139","1,532",74.3,-,"1,889","2,032",92.1,-,"1,881","2,027",90.3,-,"1,855","2,032",90.8,-,"1,895","1,956",94.4,-,"1,858","2,008",92.1,-,3,"2,077",0,-,"2,669","2,761",96.7,-,11,"2,666",0.4,-,"1,281","2,027",63.2,-,280,308,90.91,-,"1,555","1,769",87.9,-,"1,387","1,947",71.24,80.18,78.26,82.24,Better Than National Rate,-,46,"1,016",4.53,4.08,3.32,5.14,Same As National Rate,-,82,971,8.44,7.22,6.01,8.44,Better Than National Rate,-,0.91,-,"3,020"
MD,217048,AMEDISYS HOME HEALTH,"511 JERMOR LANE,  SUITE 200",WESTMINSTER,21157,4107519904,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,05/23/1980,4,-,"2,661","2,675",99.5,-,"1,526","1,744",87.5,-,"1,697","1,855",90.4,-,"1,694","1,853",92.2,-,"1,722","1,857",91.5,-,"1,667","1,766",93,-,"1,624","1,840",87.3,-,4,"1,928",0.1,-,"2,622","2,676",98,-,25,"2,658",0.9,-,"1,147","1,842",62.27,-,66,113,58.41,-,"1,056","1,815",58.18,-,"2,208","3,082",71.64,80.1,78.44,81.61,Better Than National Rate,-,53,"1,631",3.25,3.58,3.05,4.37,Same As National Rate,-,164,"1,630",10.06,8.73,7.6,10.17,Same As National Rate,-,1.04,-,"4,941"
