Organization_Name,Organization_Type,Address,City,State,Zip,County,Phone,Website,Notes
Bowie Senior Center,Senior Center,14900 Health Center Dr,Bowie,MD,20716,Prince George's County,301-809-2300,https://www.cityofbowie.org/288/Senior-Center,
Gwendolyn Britt Senior Activity Center,Senior Center,4009 Wallace Rd,North Brentwood,MD,20722,Prince George's County,301-699-1238,https://www.pgparks.com/3837/Gwendolyn-Britt,
Laurel-Beltsville Senior Activity Center,Senior Center,7120 Contee Rd,Laurel,MD,20707,Prince George's County,301-206-3350,https://www.pgparks.com/3841/Laurel-Beltsville,
Camp Springs Senior Activity Center,Senior Center,6420 Allentown Rd,Camp Springs,MD,20748,Prince George's County,301-449-0490,https://www.pgparks.com/4625/Camp-Springs,
Prince George's County Department of Family Services,Government Agency,6420 Allentown Rd,Camp Springs,MD,20748,Prince George's County,301-265-8450,https://www.princegeorgescountymd.gov/1728/Aging-Disabilities-Services,Aging and Disabilities Services Division
Maryland Access Point (MAP) of Prince George's County,Government Agency,,,MD,,Prince George's County,301-265-8450,https://www.princegeorgescountymd.gov/1614/Maryland-Access-Point-MAP,
Prince George's County Department of Social Services,Government Agency,805 Brightseat Rd,Landover,MD,20785,Prince George's County,301-909-7000,https://www.princegeorgescountymd.gov/1635/Social-Services,
VFW Post 9619,Veterans Organization,6420 Allentown Rd,Camp Springs,MD,20748,Prince George's County,301-899-9832,,
The American Legion Post 275,Veterans Organization,8201 Laurel Bowie Rd,Bowie,MD,20715,Prince George's County,301-464-9814,,
Elder Law & Estate Planning Center,Financial/Legal Services,9701 Apollo Dr #301,Largo,MD,20774,Prince George's County,301-464-7448,,Estate planning
Prince George's County Veterans Affairs Office,Veterans Organization,1801 McCormick Drive Suite 200,Largo,MD,20774,Prince George's County,301-780-8260,,Government agency
Beall Funeral Home,Funeral Home,6512 NW Crain Hwy,Bowie,MD,20715,Prince George's County,301-805-5544,https://www.beallfuneral.com,
Marshall-March Funeral Homes,Funeral Home,4308 Suitland Rd,Suitland,MD,20746,Prince George's County,301-736-1616,https://marshallmarchfh.com,
Lee Funeral Home,Funeral Home,6633 Old Alexandria Ferry Rd,Clinton,MD,20735,Prince George's County,301-868-0900,https://www.leefuneralhomes.com,
Annual Prince George's County Aging Conference,Event,301 Largo Rd,Largo,MD,20774,Prince George's County,,,Held at Prince George's Community College
Holiday Park Senior Center,Senior Center,3950 Ferrara Dr,Silver Spring,MD,20906,Montgomery County,240-777-4999,https://www.montgomerycountymd.gov/rec/facilities/seniorcenters/holidaypark/,
Schweinhaut Senior Center,Senior Center,1000 Forest Glen Rd,Silver Spring,MD,20901,Montgomery County,240-777-8085,https://www.montgomerycountymd.gov/rec/facilities/seniorcenters/schweinhaut/,
North Potomac Senior Center,Senior Center,13850 Travilah Rd,Rockville,MD,20850,Montgomery County,240-773-4805,,
Wheaton Senior Center,Senior Center,11701 Georgia Ave,Wheaton,MD,20902,Montgomery County,240-777-4940,,
Montgomery County Aging and Disability Services,Government Agency,401 Hungerford Dr,Rockville,MD,20850,Montgomery County,240-777-3000,https://www.montgomerycountymd.gov/hhs/program/ads/index.html,
Montgomery County Area Agency on Aging,Government Agency,401 Hungerford Dr,Rockville,MD,20850,Montgomery County,240-777-3000,,
Montgomery County Long Term Care Ombudsman Program,Government Agency,,,MD,,Montgomery County,240-777-3369,https://www.montgomerycountymd.gov/senior/ombudsman.html,
Montgomery County Veterans Affairs,Veterans Organization,401 Hungerford Dr,Rockville,MD,20850,Montgomery County,240-777-1246,,Government agency
American Legion Post 86,Veterans Organization,2013 Veirs Mill Rd,Rockville,MD,20851,Montgomery County,301-424-4486,,
The Elder & Disability Law Center,Financial/Legal Services,7910 Woodmont Ave #1430,Bethesda,MD,20814,Montgomery County,202-452-0000,,Elder law
Financial Planning Association of the National Capital Area,Financial/Legal Services,1655 N Fort Myer Dr,Arlington,VA,22209,Arlington,703-920-3196,,Regional organization
Collins Funeral Home,Funeral Home,500 University Blvd W,Silver Spring,MD,20901,Montgomery County,301-384-5158,https://www.collinsfuneralhome.com,
Pumphrey's Bethesda-Chevy Chase Funeral Home,Funeral Home,7557 Wisconsin Ave,Bethesda,MD,20814,Montgomery County,301-652-2200,https://www.pumphreyfuneralhome.com,
De Vol Funeral Home,Funeral Home,10 East Deer Park Dr,Gaithersburg,MD,20877,Montgomery County,301-948-6800,https://www.devolfuneralhome.com,
50+ Employment Expo,Event,5701 Marinelli Rd,Rockville,MD,20852,Montgomery County,,,Held at Bethesda North Marriott Hotel & Conference Center
Montgomery County Senior Resource Fair,Event,506 S Frederick Ave,Gaithersburg,MD,20877,Montgomery County,,,Held at Activity Center at Bohrer Park
Annapolis Senior Activity Center,Senior Center,119 S Villa Ave,Annapolis,MD,21401,Anne Arundel County,410-222-1818,https://www.aacounty.org/departments/aging-and-disabilities/senior-centers/annapolis,
Pasadena Senior Activity Center,Senior Center,4103 Mountain Rd,Pasadena,MD,21122,Anne Arundel County,410-222-0030,https://www.aacounty.org/departments/aging-and-disabilities/senior-centers/pasadena,
South County Senior Activity Center,Senior Center,27 Stepneys Ln,Edgewater,MD,21037,Anne Arundel County,410-222-1927,https://www.aacounty.org/departments/aging-and-disabilities/senior-centers/south-county,
Anne Arundel County Department of Aging and Disabilities,Government Agency,2666 Riva Rd,Annapolis,MD,21401,Anne Arundel County,410-222-4257,https://www.aacounty.org/departments/aging-and-disabilities/,
Anne Arundel County Maryland Access Point,Government Agency,,,MD,,Anne Arundel County,410-222-4257,,
Anne Arundel County Department of Social Services,Government Agency,80 West St,Annapolis,MD,21401,Anne Arundel County,410-269-4500,,
VFW Post 160,Veterans Organization,2597 Dorsey Rd,Glen Burnie,MD,21060,Anne Arundel County,410-766-9802,,
