State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,Numerator for how often the home health team began their patients' care in a timely manner,Denominator for how often the home health team began their patients' care in a timely manner,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,Numerator for how often the home health team determined whether patients received a flu shot for the current flu season,Denominator for how often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,Numerator for how often patients got better at walking or moving around,Denominator for how often patients got better at walking or moving around,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,Numerator for how often patients got better at getting in and out of bed,Denominator for how often patients got better at getting in and out of bed,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,Numerator for how often patients got better at bathing,Denominator for how often patients got better at bathing,How often patients got better at bathing,Footnote for how often patients got better at bathing,Numerator for how often patients' breathing improved,Denominator for how often patients' breathing improved,How often patients' breathing improved,Footnote for how often patients' breathing improved,Numerator for how often patients got better at taking their drugs correctly by mouth,Denominator for how often patients got better at taking their drugs correctly by mouth,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,Numerator for Changes in skin integrity post-acute care: pressure ulcer/injury,Denominator for Changes in skin integrity post-acute care: pressure ulcer/injury,Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,Numerator for how often physician-recommended actions to address medication issues were completely timely,Denominator for how often physician-recommended actions to address medication issues were completely timely,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Numerator for Percent of Residents Experiencing One or More Falls with Major Injury,Denominator for Percent of Residents Experiencing One or More Falls with Major Injury,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Numerator for Discharge Function Score,Denominator for Discharge Function Score,Discharge Function Score,Footnote for Discharge Function Score,Numerator for Transfer of Health Information to the Provider,Denominator for Transfer of Health Information to the Provider,Transfer of Health Information to the Provider,Footnote for Transfer of Health Information to the Provider,Numerator for Transfer of Health Information to the Patient,Denominator for Transfer of Health Information to the Patient,Transfer of Health Information to the Patient,Footnote for Transfer of Health Information to the Patient,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
VA,497008,INOVA HOME HEALTH LLC,9900 MAIN STREET - SUITE 100,FAIRFAX,22031,5714323100,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,10/01/1976,4,-,"4,046","4,492",90.1,-,"1,712","2,774",61.7,-,"3,015","3,230",91.8,-,"3,066","3,221",93.6,-,"3,098","3,228",94.4,-,"1,890","1,943",98.8,-,"3,026","3,189",92.2,-,3,"3,341",0.2,-,"3,959","4,495",88.1,-,22,"4,464",0.5,-,"2,173","3,227",67.34,-,212,270,78.52,-,"2,546","3,071",82.90,-,"2,851","4,299",66.32,71.48,69.69,72.96,Worse Than National Rate,-,98,"3,359",2.92,3.36,2.85,3.90,Same As National Rate,-,240,"1,843",13.02,10.76,9.57,11.78,Same As National Rate,-,0.98,-,"6,276"
VA,497033,THE MEDICAL TEAM INC,1896 PRESTON WHITE DRIVE,RESTON,20191,7033902300,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,09/27/1985,3.5,-,483,484,99.8,-,237,324,73.1,-,301,361,80.8,-,320,361,85.5,-,312,361,83.6,-,268,308,85.8,-,286,358,76.9,-,2,371,0.4,-,480,484,99.2,-,3,483,0.6,-,253,360,70.28,-,50,54,92.59,-,315,317,99.37,-,423,541,78.19,84.88,81.90,87.68,Better Than National Rate,-,14,277,5.05,4.18,3.11,5.41,Same As National Rate,-,18,279,6.45,6.47,4.61,9.16,Better Than National Rate,-,0.95,-,725
VA,497255,"AMERICARE IN HOME NURSING, HOME RECOVERY",6225 BRANDON AVENUE SUITE 440,SPRINGFIELD,22150,7039122080,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,04/09/1981,4.5,-,249,251,99.2,-,113,162,69.8,-,193,198,93.4,-,194,198,94.9,-,191,198,95.1,-,162,167,95.3,-,182,185,93.5,-,0,201,0.0,-,246,251,98.0,-,2,251,0.8,-,162,198,81.82,-,24,38,63.16,-,121,162,74.69,-,220,257,85.60,84.45,80.04,87.98,Better Than National Rate,-,4,91,4.40,4.05,2.84,5.88,Same As National Rate,-,9,148,6.08,8.70,5.19,14.38,Same As National Rate,-,0.97,-,310
VA,497478,"CARING NURSES ADVOCATES FOR PATIENTS, LTD",10875 MAIN STREET SUITE 201,FAIRFAX,22030,5714320230,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,06/23/1994,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,The number of patient episodes for this measure is too small to report.,-,5,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,12
VA,497485,ENHABIT HOME HEALTH (RESTON),12355 SUNRISE VALLEY DRIVE SUITE 230,RESTON,20191,8047039927,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/29/1994,3.5,-,712,718,99.2,-,342,447,76.5,-,473,534,88.4,-,484,531,90.3,-,473,534,92.1,-,286,343,89.3,-,442,517,86.7,-,0,574,0.0,-,708,718,98.6,-,11,712,1.5,-,404,535,75.51,-,14,34,41.18,-,462,540,85.56,-,848,998,84.97,84.29,82.70,86.08,Better Than National Rate,-,34,993,3.42,4.22,3.29,5.47,Same As National Rate,-,36,385,9.35,11.06,8.26,14.89,Same As National Rate,-,0.96,-,"1,295"
VA,497502,"PROFESSIONAL HEALTHCARE RESOURCES, INC","7619 LITTLE RIVER TURNPIKE, SUITE 600",ANNANDALE,22003,7037528760,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,09/06/1995,3,-,83,83,100.0,-,43,47,91.5,-,49,66,71.7,-,59,66,86.2,-,52,66,78.8,-,44,45,100.0,-,49,65,77.8,-,0,67,0.0,-,75,83,90.4,-,0,83,0.0,-,44,66,66.67,-,-,-,-,The number of patient episodes for this measure is too small to report.,45,56,80.36,-,70,90,77.78,80.91,72.34,88.41,Same As National Rate,-,3,47,6.38,4.06,2.84,5.77,Same As National Rate,-,8,56,14.29,12.66,7.54,19.86,Same As National Rate,-,1.02,-,135
VA,497536,AMERICAN HEALTH CARE PROFESSIONALS,"752 WALKER ROAD, SUITE E",GREAT FALLS,22066,7033882813,PROPRIETARY,Yes,Yes,Yes,No,No,Yes,02/10/1997,3,-,31,33,93.9,-,-,-,-,The number of patient episodes for this measure is too small to report.,16,27,75.7,-,15,27,75.5,-,21,26,95.6,-,-,-,-,The number of patient episodes for this measure is too small to report.,16,21,88.5,-,0,27,0.0,-,31,33,93.9,-,1,33,3.0,-,20,27,74.07,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,37,46,80.43,81.91,73.81,92.60,Same As National Rate,-,-,14,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,3,30,10.00,10.45,5.63,19.70,Same As National Rate,-,0.97,-,79
VA,497547,CONTINUUM PEDIATRIC NURSING SERVICES,8230 LEESBURG PIKE SUITE 740,VIENNA,22182,7035060123,PROPRIETARY,Yes,No,Yes,No,No,No,08/13/1998,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-
VA,497550,MEDSTAR HEALTH HOME CARE,4040 NORTH FAIRFAX DRIVE - SUITE 625,ARLINGTON,22203,7037481533,NON-PROFIT,Yes,Yes,Yes,No,No,Yes,07/24/1998,3.5,-,243,255,95.3,-,132,162,81.5,-,178,208,86.1,-,193,208,92.4,-,181,209,86.7,-,117,139,89.9,-,167,196,84.9,-,0,211,0.0,-,246,255,96.5,-,2,254,0.8,-,176,208,84.62,-,-,-,-,The number of patient episodes for this measure is too small to report.,194,199,97.49,-,234,298,78.52,78.68,73.12,82.17,Same As National Rate,-,3,218,1.38,3.59,2.53,5.57,Same As National Rate,-,13,147,8.84,9.72,6.38,13.75,Same As National Rate,-,1.05,-,407
VA,497552,HUMAN TOUCH HOME HEALTH CARE,"113 PARK AVENUE, SUITE 300",FALLS CHURCH,22046,7035310540,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/23/1998,3,-,304,307,99.0,-,169,175,96.6,-,230,270,81.3,-,247,270,86.1,-,231,270,84.4,-,172,198,88.7,-,233,269,81.0,-,1,270,0.4,-,307,307,100.0,-,1,307,0.3,-,195,269,72.49,-,10,25,40.00,-,232,244,95.08,-,67,82,81.71,82.65,72.21,89.59,Same As National Rate,-,2,42,4.76,3.99,2.80,5.60,Same As National Rate,-,1,32,3.12,8.25,4.64,14.54,Same As National Rate,-,0.84,-,132
