State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,Numerator for how often the home health team began their patients' care in a timely manner,Denominator for how often the home health team began their patients' care in a timely manner,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,Numerator for how often the home health team determined whether patients received a flu shot for the current flu season,Denominator for how often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,Numerator for how often patients got better at walking or moving around,Denominator for how often patients got better at walking or moving around,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,Numerator for how often patients got better at getting in and out of bed,Denominator for how often patients got better at getting in and out of bed,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,Numerator for how often patients got better at bathing,Denominator for how often patients got better at bathing,How often patients got better at bathing,Footnote for how often patients got better at bathing,Numerator for how often patients' breathing improved,Denominator for how often patients' breathing improved,How often patients' breathing improved,Footnote for how often patients' breathing improved,Numerator for how often patients got better at taking their drugs correctly by mouth,Denominator for how often patients got better at taking their drugs correctly by mouth,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,Numerator for Changes in skin integrity post-acute care: pressure ulcer/injury,Denominator for Changes in skin integrity post-acute care: pressure ulcer/injury,Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,Numerator for how often physician-recommended actions to address medication issues were completely timely,Denominator for how often physician-recommended actions to address medication issues were completely timely,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Numerator for Percent of Residents Experiencing One or More Falls with Major Injury,Denominator for Percent of Residents Experiencing One or More Falls with Major Injury,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Numerator for Discharge Function Score,Denominator for Discharge Function Score,Discharge Function Score,Footnote for Discharge Function Score,Numerator for Transfer of Health Information to the Provider,Denominator for Transfer of Health Information to the Provider,Transfer of Health Information to the Provider,Footnote for Transfer of Health Information to the Provider,Numerator for Transfer of Health Information to the Patient,Denominator for Transfer of Health Information to the Patient,Transfer of Health Information to the Patient,Footnote for Transfer of Health Information to the Patient,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
VA,497008,INOVA HOME HEALTH LLC,9900 MAIN STREET - SUITE 100,FAIRFAX,22031,5714323100,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,10/01/1976,4,-,"4,046","4,492",90.1,-,"1,712","2,774",61.7,-,"3,015","3,230",91.8,-,"3,066","3,221",93.6,-,"3,098","3,228",94.4,-,"1,890","1,943",98.8,-,"3,026","3,189",92.2,-,3,"3,341",0.2,-,"3,959","4,495",88.1,-,22,"4,464",0.5,-,"2,173","3,227",67.34,-,212,270,78.52,-,"2,546","3,071",82.90,-,"2,851","4,299",66.32,71.48,69.69,72.96,Worse Than National Rate,-,98,"3,359",2.92,3.36,2.85,3.90,Same As National Rate,-,240,"1,843",13.02,10.76,9.57,11.78,Same As National Rate,-,0.98,-,"6,276"
VA,497015,FAMILY CARE SENIOR SOLUTIONS,801 COURT STREET,PORTSMOUTH,23704,7573999700,PROPRIETARY,Yes,Yes,Yes,Yes,No,Yes,05/30/1985,-,The number of patient episodes for this measure is too small to report.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,1,20,5.00,3.89,2.58,5.61,Same As National Rate,-,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-
VA,497018,CARILION HOME CARE SERVICES TAZEWELL,388 BEN BOLT AVENUE,TAZEWELL,24651,2769888714,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,07/10/1985,3.5,-,407,427,95.3,-,114,248,46.0,-,270,292,87.3,-,278,289,91.1,-,279,292,90.7,-,263,277,91.4,-,278,290,88.3,-,0,300,0.0,-,424,427,99.3,-,8,427,1.9,-,201,290,69.31,-,-,-,-,The number of patient episodes for this measure is too small to report.,288,288,100.00,-,161,202,79.70,85.72,79.76,90.54,Better Than National Rate,-,3,120,2.50,3.70,2.71,5.17,Same As National Rate,-,7,77,9.09,8.79,5.47,14.34,Same As National Rate,-,0.90,-,281
VA,497019,SENTARA HOME CARE SERVICES,"154 HANSEN ROAD, SUITE 101",CHARLOTTESVILLE,22911,4346542900,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,07/03/1985,3,-,"1,530","1,787",85.6,-,828,"1,094",75.7,-,"1,287","1,462",83.9,-,"1,294","1,461",86.9,-,"1,340","1,461",88.4,-,"1,210","1,334",88.9,-,"1,255","1,452",81.1,-,6,"1,489",0.4,-,"1,755","1,793",97.9,-,17,"1,791",0.9,-,"1,134","1,454",77.99,-,92,105,87.62,-,"1,354","1,384",97.83,-,"1,647","1,968",83.69,87.74,85.85,89.66,Better Than National Rate,-,45,"1,256",3.58,3.86,3.08,5.06,Same As National Rate,-,55,986,5.58,5.72,4.68,7.10,Better Than National Rate,-,0.88,-,"2,547"
VA,497020,BUCHANAN GENERAL HOSPITAL HOME HEALTH AGENCY,"1535 SLATE CREEK ROAD, 5TH FLOOR",GRUNDY,24614,2769351509,NON-PROFIT,Yes,Yes,Yes,Yes,No,Yes,07/18/1985,2,-,237,237,100.0,-,76,134,56.7,-,106,157,69.4,-,60,154,56.6,-,105,156,68.3,-,61,120,55.9,-,44,94,58.4,-,0,162,0.0,-,237,237,100.0,-,0,237,0.0,-,97,158,61.39,-,-,-,-,The number of patient episodes for this measure is too small to report.,156,157,99.36,-,56,97,57.73,61.93,50.74,70.42,Worse Than National Rate,-,6,52,11.54,4.37,2.92,6.48,Same As National Rate,-,10,57,17.54,11.27,7.46,16.27,Same As National Rate,-,0.93,-,120
VA,497021,1ST CARE HOME HEALTH SOUTH BOSTON,425 MAIN ST,SOUTH BOSTON,24592,4345721312,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,07/25/1985,2.5,-,"1,331","1,380",96.4,-,650,924,70.3,-,807,967,82.3,-,747,963,84.1,-,828,967,83.6,-,836,952,84.4,-,798,960,82.2,-,4,"1,009",0.2,-,"1,370","1,380",99.3,-,7,"1,375",0.5,-,608,963,63.14,-,86,87,98.85,-,915,922,99.24,-,528,728,72.53,82.06,78.38,84.73,Better Than National Rate,-,15,498,3.01,3.46,2.49,4.62,Same As National Rate,-,52,392,13.27,11.17,8.89,14.11,Same As National Rate,-,0.98,-,"1,194"
VA,497022,INTERIM HEALTHCARE OF ROANOKE,1013 EAST MAIN STREET,SALEM,24153,5407748686,PROPRIETARY,Yes,Yes,Yes,Yes,No,No,08/07/1985,2,-,512,540,94.8,-,206,298,69.1,-,304,406,75.4,-,330,398,83.5,-,298,410,72.1,-,118,192,65.9,-,286,385,74.8,-,1,421,0.2,-,529,545,97.1,-,2,540,0.4,-,269,412,65.29,-,47,60,78.33,-,241,361,66.76,-,206,269,76.58,83.45,78.27,88.76,Better Than National Rate,-,6,148,4.05,3.94,2.87,5.23,Same As National Rate,-,9,110,8.18,9.49,6.10,14.69,Same As National Rate,-,0.95,-,371
VA,497025,RIVERSIDE HOME HEALTH,4719A RICHMOND ROAD,WARSAW,22572,8044436276,PROPRIETARY,Yes,Yes,No,Yes,Yes,Yes,07/23/1985,3,-,"1,287","1,433",89.8,-,644,841,76.6,-,820,"1,029",81.7,-,858,"1,007",84.2,-,877,"1,038",84.0,-,605,741,84.2,-,808,991,80.1,-,3,"1,068",0.3,-,"1,405","1,436",97.8,-,12,"1,427",0.8,-,787,"1,043",75.46,-,73,104,70.19,-,940,964,97.51,-,688,820,83.90,87.64,85.11,89.94,Better Than National Rate,-,32,742,4.31,4.02,3.21,5.23,Same As National Rate,-,27,401,6.73,6.92,4.78,9.05,Better Than National Rate,-,0.96,-,973
VA,497026,"BON SECOURS HOME HEALTH, LLC","2603 NINE MILE ROAD, SUITE 200",RICHMOND,23223,8046275200,NON-PROFIT,Yes,Yes,Yes,Yes,Yes,Yes,07/12/1985,3.5,-,"1,922","1,947",98.7,-,623,"1,182",52.7,-,"1,142","1,278",90.2,-,"1,147","1,277",90.5,-,"1,115","1,280",89.3,-,"1,057","1,195",89.1,-,"1,107","1,259",88.6,-,9,"1,483",0.5,-,"1,855","1,947",95.3,-,22,"1,946",1.1,-,965,"1,279",75.45,-,68,74,91.89,-,"1,336","1,409",94.82,-,"1,163","1,388",83.79,90.65,88.52,92.39,Better Than National Rate,-,39,"1,105",3.53,3.72,2.99,4.75,Same As National Rate,-,53,604,8.77,7.78,6.27,9.44,Better Than National Rate,-,0.98,-,"1,771"
VA,497027,MEDICAL SERVICES OF AMERICA HOME HEALTH AND HOSPICE,1935 FRONT STREET,RICHLANDS,24641,2769639899,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,08/14/1985,2.5,-,834,862,96.8,-,309,529,58.4,-,419,538,77.9,-,419,536,76.5,-,413,538,78.5,-,294,431,68.9,-,415,525,80.0,-,5,567,0.7,-,828,864,95.8,-,4,863,0.5,-,253,535,47.29,-,122,163,74.85,-,359,401,89.53,-,355,519,68.40,74.96,70.86,78.68,Same As National Rate,-,10,234,4.27,3.88,2.89,5.25,Same As National Rate,-,29,240,12.08,10.14,7.04,13.41,Same As National Rate,-,0.95,-,962
