CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Affiliated Entity Name,Affiliated Entity ID,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Rating Cycle 3 Standard Health Survey Date,Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Number of Health Revisits,Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date
215005.0,COMPLETE CARE AT ANNAPOLIS,900 VAN BUREN STREET,ANNAPOLIS,MD,21403,4102678653,10,Anne Arundel,For profit - Corporation,97,78.9,,Medicare and Medicaid,N,COMPLETE CARE AT ANNAPOLIS LLC,1976-07-01,COMPLETE CARE,157.0,N,,N,Y,N,Resident,Yes,5.0,,4.0,,5.0,,5.0,,5.0,,2.0,,,,1.86706,1.19062,0.71654,1.90715,3.77421,3.186,0.46145,0.08835,58.2,,60.9,,0.0,,1.49068,1.09435,2.53335,0.95031,0.72785,4.21151,3.70206,1.69652,1.08187,0.65109,3.42948,2.89499,2019-11-14,17.0,14.0,3.0,68.0,1.0,0.0,68.0,2018-07-27,10.0,10.0,0.0,48.0,1.0,0.0,48.0,2017-04-10,4.0,4.0,0.0,16.0,1.0,0.0,16.0,52.667,0,0,,0,0.0,0,0,"900 VAN BUREN STREET,ANNAPOLIS,MD,21403",38.9616,-76.49,,2025-03-01
215088.0,HAMMONDS LANE CENTER,613 HAMMONDS LANE,BROOKLYN PARK,MD,21225,4106363400,10,Anne Arundel,For profit - Corporation,129,101.0,,Medicare and Medicaid,N,613 HAMMONDS LANE OPERATIONS LLC,1972-12-11,GENESIS HEALTHCARE,237.0,N,,N,N,N,Both,Yes,2.0,,2.0,,3.0,,3.0,,3.0,,3.0,,,,1.56587,0.82846,0.79377,1.62224,3.18811,2.93495,0.60065,0.05775,34.4,,33.3,,1.0,,1.37685,1.01079,2.3399,0.87774,0.67227,3.88992,3.41937,1.54048,0.81503,0.7809,3.1364,2.88736,2023-06-20,23.0,23.0,8.0,120.0,2.0,60.0,180.0,2019-01-17,23.0,23.0,0.0,92.0,1.0,0.0,92.0,2017-09-01,5.0,5.0,0.0,24.0,1.0,0.0,24.0,124.667,0,0,,1,80268.5,0,1,"613 HAMMONDS LANE,BROOKLYN PARK,MD,21225",39.2128,-76.627,,2025-03-01
215120.0,AUTUMN LAKE HEALTHCARE AT CROFTON,2131 DAVIDSONVILLE ROAD,CROFTON,MD,21114,4107211000,10,Anne Arundel,For profit - Limited Liability company,180,158.9,,Medicare and Medicaid,N,"2131 DAVIDSONVILLE OPCO, LLC",1980-01-01,AUTUMN LAKE HEALTHCARE,56.0,N,,N,N,N,Both,Yes,4.0,,4.0,,4.0,,5.0,,3.0,,2.0,,,,2.29609,1.23676,0.45345,1.6902,3.9863,3.65055,0.28488,0.13913,41.4,,14.3,,,6.0,1.57357,1.15521,2.67423,1.00316,0.76832,4.44571,3.90793,1.97646,1.06459,0.39032,3.43137,3.14236,2024-02-20,13.0,13.0,2.0,52.0,1.0,0.0,52.0,2019-03-25,4.0,4.0,0.0,16.0,1.0,0.0,16.0,2017-11-09,5.0,5.0,0.0,16.0,1.0,0.0,16.0,34.0,0,0,,0,0.0,0,0,"2131 DAVIDSONVILLE ROAD,CROFTON,MD,21114",39.0111,-76.682,,2025-03-01
215138.0,MARLEY NECK HEALTH AND REHABILITATION CENTER,7575 EAST HOWARD ROAD,GLEN BURNIE,MD,21060,4107688200,10,Anne Arundel,For profit - Limited Liability company,95,92.1,,Medicare and Medicaid,N,"HOWARD LEASING CO., LLC",1982-07-01,COMMUNICARE HEALTH,153.0,N,,N,Y,N,Resident,Yes,4.0,,3.0,,5.0,,5.0,,5.0,,3.0,,,,1.7872,0.96953,0.60224,1.57177,3.35897,2.97151,0.30195,0.03373,33.3,,46.7,,0.0,,1.3778,1.01148,2.34152,0.87835,0.67273,3.8926,3.42172,1.757,0.95315,0.59207,3.30222,2.92131,2022-05-27,12.0,12.0,0.0,52.0,1.0,0.0,52.0,2018-10-16,22.0,22.0,0.0,100.0,1.0,0.0,100.0,2017-06-23,9.0,9.0,0.0,40.0,1.0,0.0,40.0,66.0,0,0,,0,0.0,0,0,"7575 EAST HOWARD ROAD,GLEN BURNIE,MD,21060",39.1531,-76.585,,2025-03-01
215143.0,COMPLETE CARE AT SEVERNA PARK LLC,310 GENESIS WAY,SEVERNA PARK,MD,21146,4105444220,10,Anne Arundel,For profit - Corporation,138,129.3,,Medicare and Medicaid,N,COMPLETE CARE AT SEVERNA PARK LLC,1982-09-01,COMPLETE CARE,157.0,N,,N,Y,N,Resident,Yes,2.0,,3.0,,3.0,,4.0,,2.0,,1.0,,,,1.87204,1.05155,0.68064,1.73219,3.60422,3.29792,0.51383,0.0132,66.0,,65.6,,0.0,,1.57608,1.15705,2.6785,1.00476,0.76955,4.4528,3.91417,1.60887,0.90372,0.58495,3.09754,2.8343,2021-07-26,18.0,18.0,0.0,100.0,1.0,0.0,100.0,2018-08-22,14.0,6.0,8.0,68.0,1.0,0.0,68.0,2017-05-18,8.0,8.0,0.0,48.0,1.0,0.0,48.0,80.667,0,0,,0,0.0,0,0,"310 GENESIS WAY,SEVERNA PARK,MD,21146",39.082,-76.57,,2025-03-01
215148.0,AUTUMN LAKE HEALTHCARE AT WAUGH CHAPEL,1221 WAUGH CHAPEL ROAD,GAMBRILLS,MD,21054,4109232020,10,Anne Arundel,For profit - Corporation,110,102.2,,Medicare and Medicaid,N,1221 WAUGH CHAPEL OPCO LLC,1983-07-01,AUTUMN LAKE HEALTHCARE,56.0,N,,N,Y,N,Resident,Yes,3.0,,4.0,,4.0,,4.0,,5.0,,1.0,,,,1.70916,1.42217,0.68258,2.10475,3.81391,3.43453,0.54237,0.0,,6.0,,6.0,0.0,,1.70476,1.25152,2.89717,1.08679,0.83238,4.81633,4.23372,1.35802,1.12999,0.54235,3.03036,2.72892,2020-02-03,11.0,11.0,0.0,60.0,1.0,0.0,60.0,2018-08-01,5.0,5.0,0.0,20.0,1.0,0.0,20.0,2017-04-28,10.0,10.0,0.0,56.0,1.0,0.0,56.0,46.0,0,0,,0,0.0,0,0,"1221 WAUGH CHAPEL ROAD,GAMBRILLS,MD,21054",39.0414,-76.679,,2025-03-01
215174.0,GINGER COVE,4000 RIVER CRESCENT DRIVE,ANNAPOLIS,MD,21401,4102667300,10,Anne Arundel,Non profit - Corporation,55,41.3,,Medicare,N,"ANNAPOLIS LIFE CARE, INC.",1988-09-16,,,Y,,N,N,N,Resident,Yes,5.0,,5.0,,2.0,,4.0,,1.0,,5.0,,,,2.30787,1.13055,0.82248,1.95303,4.2609,3.96474,0.81218,0.05456,10.5,,11.1,,0.0,,1.06458,0.78154,1.80921,0.67867,0.5198,3.00768,2.64385,2.93642,1.43846,1.04649,5.42137,5.04455,2024-06-04,9.0,9.0,3.0,32.0,1.0,0.0,32.0,2019-06-07,2.0,2.0,0.0,8.0,1.0,0.0,8.0,2018-02-09,8.0,8.0,0.0,36.0,1.0,0.0,36.0,24.667,0,0,,1,994.1,0,1,"4000 RIVER CRESCENT DRIVE,ANNAPOLIS,MD,21401",38.9613,-76.559,,2025-03-01
215186.0,FUTURE CARE CHESAPEAKE,305 COLLEGE PARKWAY,ARNOLD,MD,21012,4106470015,10,Anne Arundel,For profit - Corporation,152,98.3,,Medicare and Medicaid,N,"BAY MANOR NURSING HOME, INC.",1989-01-11,FUTURE CARE/LIFEBRIDGE HEALTH,232.0,N,,N,N,N,Resident,Yes,4.0,,4.0,,4.0,,2.0,,5.0,,4.0,,,,2.16807,0.94699,1.46339,2.41038,4.57844,3.7851,0.78043,0.12145,50.9,,36.2,,0.0,,1.41074,1.03567,2.39751,0.89935,0.68882,3.98568,3.50355,2.08166,0.90925,1.40507,4.39597,3.63424,2024-09-20,8.0,6.0,4.0,36.0,1.0,0.0,36.0,2019-08-22,9.0,9.0,0.0,36.0,1.0,0.0,36.0,2018-04-17,13.0,13.0,0.0,60.0,1.0,0.0,60.0,40.0,1,1,,0,0.0,0,0,"305 COLLEGE PARKWAY,ARNOLD,MD,21012",39.0498,-76.503,,2025-03-01
215236.0,FAIRFIELD NURSING & REHABILITATION CENTER,1454 FAIRFIELD LOOP ROAD,CROWNSVILLE,MD,21032,4109236820,10,Anne Arundel,For profit - Corporation,96,70.4,,Medicare and Medicaid,N,CROWNSVILLE HEALTH CARE LLC,1991-11-11,FUNDAMENTAL HEALTHCARE,231.0,N,,N,N,N,Resident,Yes,4.0,,4.0,,3.0,,3.0,,3.0,,4.0,,,,1.90193,1.01853,0.60267,1.6212,3.52313,3.18299,0.47618,0.09961,20.0,,30.0,,0.0,,1.29604,0.95146,2.20257,0.82623,0.63281,3.66161,3.21868,1.98775,1.06449,0.62987,3.68211,3.32662,2024-05-03,14.0,14.0,0.0,72.0,1.0,0.0,72.0,2019-05-03,6.0,2.0,4.0,44.0,1.0,0.0,44.0,2017-12-20,11.0,11.0,0.0,48.0,1.0,0.0,48.0,58.667,0,0,,1,51597.0,0,1,"1454 FAIRFIELD LOOP ROAD,CROWNSVILLE,MD,21032",39.0292,-76.605,,2025-03-01
215258.0,AUTUMN LAKE HEALTHCARE AT SPA CREEK,35 MILKSHAKE LANE,ANNAPOLIS,MD,21403,4102695100,10,Anne Arundel,For profit - Limited Liability company,130,116.2,,Medicare and Medicaid,N,35 MILKSHAKE OPCO LLC,1994-01-06,AUTUMN LAKE HEALTHCARE,56.0,N,,N,Y,N,Resident,Yes,2.0,,2.0,,5.0,,4.0,,5.0,,1.0,,,,1.71586,1.38398,0.54276,1.92674,3.6426,3.21866,0.55962,0.0,59.1,,62.5,,,6.0,1.61442,1.1852,2.74365,1.0292,0.78827,4.56111,4.00937,1.43963,1.16118,0.45538,3.05619,2.7005,2023-02-03,22.0,22.0,11.0,104.0,1.0,0.0,104.0,2018-11-05,21.0,21.0,0.0,221.0,1.0,0.0,221.0,2017-07-13,9.0,6.0,3.0,40.0,1.0,0.0,40.0,132.333,2,0,,1,986.7,0,1,"35 MILKSHAKE LANE,ANNAPOLIS,MD,21403",38.9616,-76.503,,2025-03-01
