CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Affiliated Entity Name,Affiliated Entity ID,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Rating Cycle 3 Standard Health Survey Date,Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Number of Health Revisits,Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date
215014.0,AUTUMN LAKE HEALTHCARE AT ARCOLA,901 ARCOLA AVENUE,SILVER SPRING,MD,20902,3016492400,150,Montgomery,For profit - Corporation,151,140.2,,Medicare and Medicaid,N,901 ARCOLA AVENUE OPCO LLC,1967-01-01,AUTUMN LAKE HEALTHCARE,56.0,N,,Y,N,N,Resident,Yes,1.0,,1.0,,2.0,,3.0,,2.0,,3.0,,,,1.97714,0.87689,0.64849,1.52537,3.50251,3.23198,0.48022,0.04309,47.0,,39.3,,4.0,,1.31574,0.96593,2.23606,0.83879,0.64243,3.71728,3.26762,2.03541,0.90273,0.6676,3.60573,3.32723,2024-07-02,19.0,17.0,4.0,88.0,1.0,0.0,88.0,2019-08-28,20.0,20.0,0.0,209.0,2.0,105.0,314.0,2018-08-31,13.0,13.0,0.0,147.0,1.0,0.0,147.0,173.167,0,1,,0,0.0,0,0,"901 ARCOLA AVENUE,SILVER SPRING,MD,20902",39.0356,-77.026,,2025-03-01
215015.0,FAIRLAND CENTER,2101 FAIRLAND ROAD,SILVER SPRING,MD,20904,3013846161,150,Montgomery,For profit - Limited Liability company,92,83.7,,Medicare and Medicaid,N,2101 FAIRLAND ROAD OPERATIONS LLC,1967-01-01,GENESIS HEALTHCARE,237.0,N,,N,Y,N,None,Yes,2.0,,3.0,,3.0,,4.0,,2.0,,1.0,,,,1.60913,0.74031,1.09163,1.83195,3.44107,3.14512,0.83651,0.06799,48.9,,65.4,,2.0,,1.87462,1.37622,3.18585,1.19508,0.91532,5.29625,4.65558,1.16269,0.53492,0.78877,2.48637,2.27253,2021-04-27,18.0,7.0,11.0,84.0,1.0,0.0,84.0,2019-08-16,10.0,10.0,0.0,40.0,1.0,0.0,40.0,2018-06-25,18.0,18.0,0.0,124.0,2.0,62.0,186.0,86.333,1,2,,0,0.0,0,0,"2101 FAIRLAND ROAD,SILVER SPRING,MD,20904",39.0771,-76.968,,2025-03-01
215025.0,COMPLETE CARE AT WHEATON,4011 RANDOLPH ROAD,WHEATON,MD,20902,3019332500,150,Montgomery,For profit - Limited Liability company,116,109.1,,Medicare and Medicaid,N,COMPLETE CARE AT WHEATON LLC,1967-01-01,COMPLETE CARE,157.0,N,,N,Y,N,Resident,Yes,3.0,,2.0,,5.0,,5.0,,4.0,,2.0,,,,1.84041,0.96826,0.526,1.49425,3.33467,3.01604,0.50908,0.01708,38.6,,52.6,,2.0,,1.4027,1.02977,2.38384,0.89423,0.68489,3.96296,3.48358,1.77719,0.935,0.50793,3.22012,2.91244,2021-03-12,12.0,12.0,0.0,56.0,1.0,0.0,56.0,2019-05-31,12.0,12.0,0.0,177.0,1.0,0.0,177.0,2018-05-25,18.0,18.0,0.0,68.0,1.0,0.0,68.0,98.333,0,0,,0,0.0,0,0,"4011 RANDOLPH ROAD,WHEATON,MD,20902",39.0576,-77.078,,2025-03-01
215026.0,POTOMAC VALLEY REHABILITATION AND HEALTHCARE,1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850,3017620700,150,Montgomery,For profit - Limited Liability company,175,169.8,,Medicare and Medicaid,N,POTOMAC VALLEY OPERATOR LLC,1967-01-01,,,N,,N,Y,N,Both,Yes,5.0,,5.0,,5.0,,5.0,,4.0,,3.0,,,,1.88694,0.80201,0.58338,1.38539,3.27232,2.94974,0.4262,0.09901,33.9,,28.0,,1.0,,1.43636,1.05448,2.44104,0.91568,0.70133,4.05805,3.56717,1.77942,0.75631,0.55014,3.08587,2.78167,2020-01-09,7.0,5.0,2.0,28.0,1.0,0.0,28.0,2018-11-15,3.0,3.0,0.0,12.0,1.0,0.0,12.0,2017-10-26,5.0,4.0,1.0,32.0,1.0,0.0,32.0,23.333,1,0,,2,18535.47,0,2,"1235 POTOMAC VALLEY ROAD,ROCKVILLE,MD,20850",39.0741,-77.161,,2025-03-01
215029.0,AUTUMN LAKE HEALTHCARE AT CHEVY CHASE,8700 JONES MILL ROAD,CHEVY CHASE,MD,20815,3016578686,150,Montgomery,Non profit - Other,172,145.0,,Medicare and Medicaid,N,8700 JONES MILL ROAD OPCO LLC,1967-01-01,AUTUMN LAKE HEALTHCARE,56.0,Y,,N,Y,N,Both,Yes,4.0,,4.0,,2.0,,2.0,,2.0,,3.0,,,,1.76828,0.56478,0.84741,1.41219,3.18048,2.79309,0.63151,0.10625,23.8,,45.5,,0.0,,1.34324,0.98611,2.28278,0.85632,0.65586,3.79496,3.3359,1.78314,0.56952,0.85453,3.20719,2.81655,2021-03-26,8.0,8.0,0.0,28.0,1.0,0.0,28.0,2019-06-21,7.0,7.0,0.0,32.0,1.0,0.0,32.0,2018-06-08,16.0,16.0,0.0,56.0,1.0,0.0,56.0,34.0,0,0,,0,0.0,0,0,"8700 JONES MILL ROAD,CHEVY CHASE,MD,20815",38.9987,-77.066,,2025-03-01
215043.0,KENSINGTON HEALTHCARE  CENTER,3000 MCCOMAS AVENUE,KENSINGTON,MD,20895,3019330060,150,Montgomery,For profit - Corporation,140,132.3,,Medicare and Medicaid,N,"KENSINGTON NURSING, LLC",1971-01-01,COMMUNICARE HEALTH,153.0,N,,Y,Y,N,Both,Yes,3.0,,2.0,,5.0,,5.0,,3.0,,3.0,,,,1.73348,0.81705,0.5016,1.31865,3.05214,2.45929,0.32757,0.0833,25.3,,52.6,,1.0,,1.07392,0.7884,1.82509,0.68463,0.52436,3.03409,2.66706,2.18641,1.03053,0.63266,3.8496,3.10186,2020-11-02,17.0,3.0,14.0,140.0,1.0,0.0,140.0,2019-02-28,5.0,5.0,0.0,28.0,1.0,0.0,28.0,2018-02-16,20.0,20.0,0.0,84.0,1.0,0.0,84.0,93.333,0,3,,0,0.0,0,0,"3000 MCCOMAS AVENUE,KENSINGTON,MD,20895",39.0329,-77.061,,2025-03-01
215048.0,MONTCARE AT WHEATON,11901 GEORGIA AVENUE,WHEATON,MD,20902,3019422500,150,Montgomery,For profit - Limited Liability company,94,89.1,,Medicare and Medicaid,N,WHEATON OPERATOR LLC,1967-06-13,,,N,,N,N,N,Resident,Yes,2.0,,2.0,,4.0,,5.0,,4.0,,3.0,,,,1.74531,0.78514,0.81291,1.59806,3.34337,3.0325,0.5127,0.05841,19.4,,23.5,,0.0,,1.64004,1.20401,2.78719,1.04553,0.80078,4.63351,4.07301,1.44146,0.64845,0.67139,2.76131,2.50456,2024-07-11,35.0,30.0,16.0,188.0,1.0,0.0,188.0,2019-09-27,7.0,7.0,0.0,28.0,1.0,0.0,28.0,2018-08-17,16.0,16.0,0.0,52.0,1.0,0.0,52.0,112.0,0,0,,3,6990.75,0,3,"11901 GEORGIA AVENUE,WHEATON,MD,20902",39.0506,-77.052,,2025-03-01
215052.0,COMPLETE CARE AT SPRINGBROOK,12325 NEW HAMPSHIRE AVENUE,SILVER SPRING,MD,20904,3016224600,150,Montgomery,For profit - Limited Liability company,99,87.0,,Medicare and Medicaid,N,COMPLETE CARE AT SPRINGBROOK LLC,1976-12-01,COMPLETE CARE,157.0,N,,N,Y,N,Resident,Yes,5.0,,4.0,,5.0,,5.0,,4.0,,2.0,,,,1.84801,0.89334,0.68549,1.57884,3.42685,3.01517,0.31864,0.05422,39.5,,42.9,,0.0,,1.55279,1.13995,2.63891,0.98991,0.75818,4.38699,3.85632,1.61204,0.77928,0.59797,2.98928,2.63017,2020-09-16,12.0,7.0,5.0,56.0,1.0,0.0,56.0,2019-09-12,8.0,8.0,0.0,28.0,1.0,0.0,28.0,2019-03-29,10.0,10.0,0.0,60.0,1.0,0.0,60.0,47.333,0,0,,0,0.0,0,0,"12325 NEW HAMPSHIRE AVENUE,SILVER SPRING,MD,20904",39.0586,-76.998,,2025-03-01
215060.0,"REGENCY CARE OF SILVER SPRING, LLC",9101 SECOND AVENUE,SILVER SPRING,MD,20910,3015885544,150,Montgomery,For profit - Partnership,92,71.5,,Medicare and Medicaid,N,REGENCY CARE OF SILVER SPRING LLC,1968-10-01,REGENCY CARE,440.0,N,,N,Y,N,Resident,Yes,3.0,,3.0,,3.0,,4.0,,3.0,,4.0,,,,1.87861,1.2527,0.92518,2.17788,4.05649,3.90663,0.85146,0.07457,37.8,,38.9,,1.0,,1.39099,1.02117,2.36393,0.88676,0.67917,3.92986,3.45448,1.82936,1.21986,0.90092,3.95014,3.8042,2021-02-26,2.0,2.0,0.0,8.0,1.0,0.0,8.0,2019-06-18,15.0,15.0,0.0,64.0,1.0,0.0,64.0,2018-04-16,24.0,24.0,0.0,155.0,2.0,78.0,233.0,64.167,0,0,,0,0.0,0,0,"9101 SECOND AVENUE,SILVER SPRING,MD,20910",39.0048,-77.042,,2025-03-01
215065.0,BEL PRE HEALTHCARE CENTER,2601 BEL PRE ROAD,SILVER SPRING,MD,20906,3015986000,150,Montgomery,For profit - Corporation,100,87.8,,Medicare and Medicaid,N,"BEL PRE LEASING CO., LLC",1969-04-01,COMMUNICARE HEALTH,153.0,N,,N,Y,N,Resident,Yes,4.0,,3.0,,5.0,,5.0,,5.0,,4.0,,,,2.06365,0.80049,0.69635,1.49684,3.56049,3.20245,0.49036,0.06219,41.3,,31.3,,2.0,,1.20195,0.88239,2.04267,0.76624,0.58687,3.39578,2.98501,2.3256,0.9021,0.78475,4.01245,3.60897,2020-02-03,19.0,7.0,12.0,76.0,1.0,0.0,76.0,2019-03-29,10.0,10.0,0.0,36.0,1.0,0.0,36.0,2018-03-16,19.0,19.0,0.0,80.0,1.0,0.0,80.0,63.333,0,0,,0,0.0,0,0,"2601 BEL PRE ROAD,SILVER SPRING,MD,20906",39.0904,-77.054,,2025-03-01
