CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Telephone Number,Provider SSA County Code,County/Parish,Ownership Type,Number of Certified Beds,Average Number of Residents per Day,Average Number of Residents per Day Footnote,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid Services,Affiliated Entity Name,Affiliated Entity ID,Continuing Care Retirement Community,Special Focus Status,Abuse Icon,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Total number of nurse staff hours per resident per day on the weekend,Registered Nurse hours per resident per day on the weekend,Reported Physical Therapist Staffing Hours per Resident Per Day,Total nursing staff turnover,Total nursing staff turnover footnote,Registered Nurse turnover,Registered Nurse turnover footnote,Number of administrators who have left the nursing home,Administrator turnover footnote,Nursing Case-Mix Index,Nursing Case-Mix Index Ratio,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Case-Mix Weekend Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Adjusted Weekend Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Rating Cycle 3 Standard Health Survey Date,Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Number of Health Revisits,Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Citations from Infection Control Inspections,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Latitude,Longitude,Geocoding Footnote,Processing Date
215020.0,FORESTVILLE HEALTHCARE CENTER,7420 MARLBORO PIKE,FORESTVILLE,MD,20747,3017360240,160,Prince Georges,For profit - Corporation,162,152.9,,Medicare and Medicaid,N,"MARLBORO LEASING CO., LLC",1971-02-20,COMMUNICARE HEALTH,153.0,N,,N,N,N,Resident,Yes,3.0,,2.0,,5.0,,5.0,,4.0,,2.0,,,,1.88358,1.0458,0.29646,1.34225,3.22583,2.85008,0.15766,0.05291,38.7,,50.0,,0.0,,1.21626,0.8929,2.067,0.77537,0.59386,3.43623,3.02056,2.09769,1.16468,0.33016,3.59252,3.17405,2024-06-03,23.0,22.0,3.0,116.0,2.0,58.0,174.0,2019-06-24,8.0,8.0,0.0,40.0,1.0,0.0,40.0,2018-03-14,9.0,9.0,0.0,40.0,1.0,0.0,40.0,107.0,0,0,,1,16038.75,0,1,"7420 MARLBORO PIKE,FORESTVILLE,MD,20747",38.8481,-76.879,,2025-03-01
215024.0,WHITE OAK REHABILITATION AND NURSING CENTER,6500 RIGGS ROAD,HYATTSVILLE,MD,20783,3015590300,160,Prince Georges,For profit - Corporation,160,159.6,,Medicare and Medicaid,N,HYATTSVILLE NURSING AND REHABILITATION CENTER LLC,1967-01-01,,,N,,N,Y,N,Resident,Yes,1.0,,1.0,,4.0,,5.0,,3.0,,3.0,,,,1.6162,0.91463,0.50891,1.42354,3.03973,2.53521,0.25562,0.07042,26.6,,27.8,,1.0,,1.30711,0.95959,2.22138,0.83328,0.63822,3.69289,3.24617,1.67482,0.9478,0.52737,3.14999,2.62716,2021-05-28,36.0,36.0,0.0,196.0,1.0,0.0,196.0,2018-10-24,17.0,2.0,15.0,84.0,1.0,0.0,84.0,2017-07-08,24.0,19.0,5.0,430.0,1.0,0.0,430.0,197.667,1,0,,1,11921.0,0,1,"6500 RIGGS ROAD,HYATTSVILLE,MD,20783",38.9692,-76.985,,2025-03-01
215064.0,ADELPHI NURSING AND REHABILITATION CENTER,1801 METZEROTT ROAD,ADELPHI,MD,20783,3014340500,160,Prince Georges,For profit - Limited Liability company,170,162.2,,Medicare and Medicaid,N,ADELPHI NURSING AND REHABILITATION CENTER LLC,1968-12-17,,,N,,N,Y,N,Resident,Yes,1.0,,2.0,,1.0,20.0,1.0,20.0,,20.0,2.0,,,,1.53166,1.07536,0.5374,1.61276,3.14441,2.67624,0.31082,0.14481,40.8,,40.9,,0.0,,1.37433,1.00894,2.33563,0.87614,0.67104,3.88281,3.41312,1.50958,1.05985,0.52965,3.09908,2.63766,2020-03-18,22.0,22.0,0.0,132.0,1.0,0.0,132.0,2018-11-21,29.0,4.0,25.0,152.0,1.0,0.0,152.0,2017-08-03,5.0,5.0,0.0,28.0,1.0,0.0,28.0,121.333,1,10,,0,0.0,0,0,"1801 METZEROTT ROAD,ADELPHI,MD,20783",39.0038,-76.977,,2025-03-01
215108.0,DOCTORS COMMUNITY REHABILITATION AND PATIENT CARE,6710 MALLERY DRIVE,LANHAM,MD,20706,3015522000,160,Prince Georges,For profit - Corporation,130,128.3,,Medicare and Medicaid,N,MAGNOLIA GARDENS LLC,1977-03-01,GENESIS HEALTHCARE,237.0,N,,N,N,N,Resident,Yes,2.0,,2.0,,4.0,,4.0,,5.0,,3.0,,,,1.69441,1.00842,0.73605,1.74447,3.43888,3.09731,0.52582,0.04384,29.6,,40.0,,0.0,,1.49202,1.09534,2.53563,0.95116,0.7285,4.21529,3.70538,1.53827,0.91549,0.66822,3.12197,2.81188,2024-04-30,25.0,24.0,2.0,136.0,2.0,68.0,204.0,2019-04-26,10.0,3.0,7.0,40.0,1.0,0.0,40.0,2017-12-14,8.0,8.0,0.0,36.0,1.0,0.0,36.0,121.333,0,0,,1,16331.07,0,1,"6710 MALLERY DRIVE,LANHAM,MD,20706",38.9809,-76.864,,2025-03-01
215141.0,AUTUMN LAKE HEALTHCARE AT PATUXENT RIVER,14200 LAUREL PARK DRIVE,LAUREL,MD,20707,4107924717,160,Prince Georges,For profit - Corporation,153,131.5,,Medicare and Medicaid,N,14200 LAUREL PARK DRIVE OPCO LLC,1982-02-24,AUTUMN LAKE HEALTHCARE,56.0,N,,N,Y,N,Both,Yes,3.0,,3.0,,3.0,,4.0,,2.0,,2.0,,,,1.98547,1.15302,0.6678,1.82081,3.80629,3.28758,0.49154,0.0,53.7,,44.1,,2.0,,1.51285,1.11063,2.57103,0.96444,0.73867,4.27415,3.75712,1.77768,1.03235,0.59791,3.40794,2.94352,2022-05-06,16.0,16.0,6.0,92.0,1.0,0.0,92.0,2018-09-19,17.0,17.0,0.0,76.0,1.0,0.0,76.0,2017-05-30,11.0,9.0,2.0,52.0,1.0,0.0,52.0,80.0,3,2,,1,15592.85,0,1,"14200 LAUREL PARK DRIVE,LAUREL,MD,20707",39.0845,-76.879,,2025-03-01
215145.0,COMPLETE CARE AT HYATTSVILLE,4922 LASALLE ROAD,HYATTSVILLE,MD,20782,3018642333,160,Prince Georges,For profit - Corporation,270,268.6,,Medicare and Medicaid,N,COMPLETE CARE AT HYATTSVILLE LLC,1982-11-01,COMPLETE CARE,157.0,N,,N,N,N,Resident,Yes,2.0,,1.0,,5.0,,5.0,,5.0,,2.0,,,,1.8507,1.27502,0.65236,1.92738,3.77809,3.26752,0.42381,0.08387,40.1,,39.6,,0.0,,1.62726,1.19462,2.76546,1.03738,0.79454,4.59737,4.04125,1.54052,1.06132,0.54302,3.14486,2.71987,2023-03-09,40.0,40.0,8.0,274.0,2.0,137.0,411.0,2019-09-19,2.0,0.0,2.0,179.0,0.0,0.0,179.0,2018-05-24,4.0,4.0,0.0,20.0,1.0,0.0,20.0,268.5,5,5,,1,146584.75,0,1,"4922 LASALLE ROAD,HYATTSVILLE,MD,20782",38.9517,-76.978,,2025-03-01
215146.0,FT WASHINGTON HEALTH CENTER,12021 LIVINGSTON ROAD,FORT WASHINGTON,MD,20744,3012920300,160,Prince Georges,For profit - Corporation,150,135.5,,Medicare and Medicaid,N,"LIVINGSTON LEASING CO., LLC",1983-06-01,COMMUNICARE HEALTH,153.0,N,,N,N,N,Resident,Yes,3.0,,3.0,,4.0,,5.0,,3.0,,2.0,,,,1.78871,1.2202,0.35384,1.57404,3.36275,2.90758,0.30955,0.05194,44.2,,63.2,,3.0,,1.3022,0.95599,2.21305,0.83016,0.63582,3.67903,3.23399,1.86057,1.26922,0.36806,3.49785,3.02439,2024-02-02,14.0,14.0,1.0,76.0,1.0,0.0,76.0,2019-04-17,28.0,5.0,23.0,136.0,1.0,0.0,136.0,2017-11-17,3.0,3.0,0.0,12.0,1.0,0.0,12.0,85.333,0,0,,1,7442.5,0,1,"12021 LIVINGSTON ROAD,FORT WASHINGTON,MD,20744",38.7242,-76.988,,2025-03-01
215165.0,AUTUMN LAKE HEALTHCARE AT BRADFORD OAKS,7520 SURRATTS ROAD,CLINTON,MD,20735,3018561660,160,Prince Georges,For profit - Corporation,180,168.9,,Medicare and Medicaid,N,7520 SURRATTS OPCO LLC,1987-06-04,AUTUMN LAKE HEALTHCARE,56.0,N,,N,Y,N,Resident,Yes,3.0,,3.0,,2.0,,5.0,,1.0,,2.0,,,,2.16117,0.84386,0.44834,1.2922,3.45337,3.09915,0.42338,0.03225,46.8,,31.8,,1.0,,1.43493,1.05342,2.43861,0.91477,0.70063,4.054,3.5636,2.04006,0.79658,0.42322,3.25986,2.92549,2019-12-10,5.0,5.0,0.0,40.0,2.0,20.0,60.0,2018-07-11,14.0,14.0,0.0,76.0,1.0,0.0,76.0,2017-03-30,9.0,9.0,0.0,68.0,1.0,0.0,68.0,66.667,0,0,,0,0.0,0,0,"7520 SURRATTS ROAD,CLINTON,MD,20735",38.7504,-76.875,,2025-03-01
215177.0,AUTUMN LAKE HEALTHCARE AT CHERRY LANE,9001 CHERRY LANE,LAUREL,MD,20708,3014988558,160,Prince Georges,For profit - Limited Liability company,155,147.7,,Medicare and Medicaid,N,CHERRY LANE OPERATING GROUP LLC,1988-11-04,AUTUMN LAKE HEALTHCARE,56.0,N,,N,N,N,Both,Yes,4.0,,3.0,,5.0,,5.0,,5.0,,3.0,,,,1.9191,1.20367,0.54678,1.75044,3.66955,3.29963,0.47167,0.07281,27.8,,16.7,,0.0,,1.61258,1.18385,2.74052,1.02802,0.78737,4.55592,4.00481,1.61199,1.01104,0.45928,3.08231,2.77159,2023-08-04,22.0,22.0,7.0,120.0,1.0,0.0,120.0,2019-01-28,7.0,4.0,3.0,28.0,1.0,0.0,28.0,2017-09-28,7.0,6.0,1.0,36.0,1.0,0.0,36.0,75.333,0,0,,0,0.0,0,0,"9001 CHERRY LANE,LAUREL,MD,20708",39.0862,-76.851,,2025-03-01
215212.0,STERLING CARE HILLHAVEN,3210 POWDER MILL ROAD,ADELPHI,MD,20783,3019373939,160,Prince Georges,For profit - Limited Liability company,66,62.4,,Medicare and Medicaid,N,HILLHAVEN SNF OPERATOR LLC,1989-11-01,STERLING CARE,492.0,N,,N,Y,N,Resident,Yes,5.0,,5.0,,5.0,,5.0,,5.0,,3.0,,,,4.13484,0.69704,0.95577,1.65282,5.78766,5.10398,0.71189,0.05805,,6.0,,6.0,,6.0,1.70484,1.25157,2.89731,1.08684,0.83242,4.81656,4.23392,3.2852,0.55381,0.75938,4.59839,4.05519,2022-05-25,7.0,7.0,1.0,28.0,1.0,0.0,28.0,2018-11-13,2.0,2.0,0.0,8.0,1.0,0.0,8.0,2017-07-20,1.0,1.0,1.0,4.0,0.0,0.0,4.0,17.333,0,0,1.0,3,4960.63,0,3,"3210 POWDER MILL ROAD,ADELPHI,MD,20783",39.0331,-76.951,,2025-03-01
215231.0,CLINTON HEALTHCARE  CENTER,9211 STUART LANE,CLINTON,MD,20735,3018683600,160,Prince Georges,For profit - Corporation,267,232.3,,Medicare and Medicaid,N,"CLINTON NURSING, LLC",1991-06-06,COMMUNICARE HEALTH,153.0,N,,N,N,N,Resident,Yes,1.0,,1.0,,1.0,20.0,1.0,20.0,,20.0,3.0,,,,1.80258,0.87843,0.56194,1.44037,3.24295,2.67774,0.38615,0.06276,31.4,,33.3,,0.0,,1.19601,0.87802,2.03257,0.76246,0.58397,3.37899,2.97025,2.04149,0.99485,0.63642,3.67276,3.03264,2023-05-16,40.0,35.0,16.0,439.0,2.0,220.0,659.0,2019-03-14,13.0,8.0,5.0,135.0,1.0,0.0,135.0,2017-11-01,14.0,14.0,0.0,76.0,1.0,0.0,76.0,387.167,0,0,,1,14891.5,1,2,"9211 STUART LANE,CLINTON,MD,20735",38.7631,-76.884,,2025-03-01
215264.0,LARKIN CHASE CENTER,15005 HEALTH CENTER DRIVE,BOWIE,MD,20716,3018056070,160,Prince Georges,For profit - Corporation,120,,10.0,Medicare and Medicaid,N,BOWIE CENTER LIMITED PARTNERSHIP,1994-05-02,GENESIS HEALTHCARE,237.0,N,,N,Y,N,Resident,Yes,4.0,,4.0,,,2.0,,2.0,,2.0,,2.0,6.0,6.0,,,,,,,,,,6.0,,6.0,,6.0,,,,,,,,,,,,,2022-06-14,7.0,7.0,0.0,32.0,1.0,0.0,32.0,2018-11-01,7.0,7.0,0.0,36.0,1.0,0.0,36.0,2017-07-13,2.0,2.0,0.0,12.0,1.0,0.0,12.0,30.0,0,0,0.0,0,0.0,0,0,"15005 HEALTH CENTER DRIVE,BOWIE,MD,20716",38.9492,-76.744,,2025-03-01
215323.0,CRESCENT CITIES NURSING & REHABILITATION CENTER,4409 EAST WEST HIGHWAY,RIVERDALE,MD,20737,3016992000,160,Prince Georges,For profit - Limited Liability company,158,153.7,,Medicare and Medicaid,N,CRESCENT CITIES SNF LLC,1999-04-14,,,N,,N,N,N,Both,Yes,3.0,,2.0,,5.0,,5.0,,4.0,,3.0,,,,1.88619,1.01882,0.69541,1.71422,3.60042,3.17297,0.56686,0.11992,30.3,,28.6,,1.0,,1.51651,1.11332,2.57726,0.96678,0.74046,4.28451,3.76623,1.68471,0.90999,0.62112,3.21582,2.83403,2024-11-14,18.0,14.0,13.0,143.0,2.0,72.0,215.0,2019-07-16,10.0,10.0,0.0,60.0,1.0,0.0,60.0,2018-03-29,11.0,11.0,0.0,44.0,1.0,0.0,44.0,134.833,0,0,,2,28166.57,0,2,"4409 EAST WEST HIGHWAY,RIVERDALE,MD,20737",38.965,-76.941,,2025-03-01
215328.0,FUTURE CARE PINEVIEW,9106 PINEVIEW LANE,CLINTON,MD,20735,4108804353,160,Prince Georges,For profit - Corporation,180,169.0,,Medicare and Medicaid,N,"PINEVIEW EXTENDED CARE CENTRE, INC.",1999-05-28,FUTURE CARE/LIFEBRIDGE HEALTH,232.0,N,,N,Y,N,Resident,Yes,5.0,,4.0,,5.0,,5.0,,3.0,,3.0,,,,2.02711,0.83536,1.00033,1.83569,3.8628,3.48603,0.9043,0.04849,38.8,,32.5,,0.0,,1.89227,1.38918,3.21585,1.20633,0.92393,5.34611,4.69941,1.45104,0.59796,0.71606,2.76506,2.49536,2022-10-26,14.0,14.0,2.0,52.0,1.0,0.0,52.0,2019-01-16,3.0,3.0,0.0,16.0,1.0,0.0,16.0,2017-09-20,20.0,19.0,3.0,92.0,1.0,0.0,92.0,46.667,0,2,5.0,0,0.0,0,0,"9106 PINEVIEW LANE,CLINTON,MD,20735",38.7642,-76.888,,2025-03-01
